代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127027,靖远转债,121.348,4.52%,1.02,AA+,5.200,125.87,建仓,121.348,0%
128081,海亮转债,122.680,5.20%,2.15,AA,4.151,127.88,建仓,122.680,0%
128133,奇正转债,121.105,8.63%,5.13,AA,4.984,129.74,建仓,121.105,0%
128100,搜特转债,104.350,7.68%,2.00,A,4.452,112.03,持仓,104.088,0.3%
128087,孚日转债,104.926,13.78%,1.02,AA-,4.222,118.71,持仓,104.990,-0.1%
113033,利群转债,104.330,17.40%,1.18,AA,4.507,121.73,持仓,104.010,0.3%
113628,晨丰转债,108.160,17.32%,1.84,A,5.904,125.48,持仓,107.160,0.9%
127042,嘉美转债,117.811,8.25%,2.35,AA,5.866,126.06,持仓,118.310,-0.4%
128037,岩土转债,109.510,16.66%,1.27,AA,2.463,126.17,持仓,109.869,-0.3%
113591,胜达转债,117.080,9.10%,2.13,AA-,4.756,126.18,持仓,114.900,1.9%
127020,中金转债,120.368,5.95%,1.50,AA+,4.808,126.32,持仓,120.837,-0.4%
128066,亚泰转债,103.998,23.60%,1.40,AA-,3.553,127.60,持仓,103.808,0.2%
127028,英特转债,107.400,20.34%,1.61,AA+,5.271,127.74,持仓,106.900,0.5%
113610,灵康转债,113.350,14.68%,4.32,AA-,5.175,128.03,持仓,111.700,1.5%
127034,绿茵转债,103.999,24.40%,1.49,AA-,5.586,128.40,持仓,104.060,-0.1%
110063,鹰19转债,120.060,9.32%,1.01,AA+,4.208,129.38,持仓,119.890,0.1%
113609,永安转债,112.490,16.96%,1.08,AA-,5.156,129.45,持仓,112.790,-0.3%
123082,北陆转债,117.395,12.42%,2.48,A+,5.192,129.81,持仓,117.640,-0.2%
113607,伟20转债,129.960,0.05%,6.14,AA,5.096,130.01,持仓,131.200,-0.9%
110047,山鹰转债,119.880,10.51%,1.01,AA+,3.151,130.39,持仓,119.270,0.5%
113549,白电转债,133.160,-0.36%,1.95,AA,4.132,132.80,清仓,130.410,2.1%
113505,杭电转债,117.420,15.14%,1.75,AA,2.436,132.56,清仓,111.920,4.9%
127018,本钢转债,121.900,5.32%,0.97,AAA,4.751,127.22,清仓,124.980,-2.5%
