代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128105,长集转债,108.245,7.43%,2.11,AA,4.847,115.68,建仓,108.245,0%
123087,明电转债,105.317,12.34%,2.84,AA-,5.532,117.66,建仓,105.317,0%
128082,华锋转债,116.725,1.49%,1.81,A+,4.501,118.21,建仓,116.725,0%
110071,湖盐转债,108.520,11.07%,2.11,AA,5.099,119.59,建仓,108.520,0%
128145,日丰转债,113.342,6.40%,3.03,AA-,5.800,119.74,建仓,113.342,0%
113505,杭电转债,103.780,16.25%,1.54,AA,2.753,120.03,建仓,103.780,0%
113549,白电转债,103.510,16.64%,1.29,AA,4.449,120.15,建仓,103.510,0%
127033,中装转2,101.008,11.39%,1.23,AA,5.866,112.40,持仓,100.998,0.0%
128013,洪涛转债,106.046,6.50%,1.03,AA-,1.151,112.55,持仓,106.251,-0.2%
113033,利群转债,99.990,12.87%,1.10,AA,4.825,112.86,持仓,99.750,0.2%
128087,孚日转债,103.440,9.53%,1.06,AA,4.540,112.97,持仓,103.380,0.1%
128085,鸿达转债,115.598,-0.41%,1.53,BB,4.537,115.19,持仓,112.959,2.3%
113610,灵康转债,108.690,6.59%,4.14,AA-,5.493,115.28,持仓,107.980,0.7%
128081,海亮转债,110.458,5.69%,1.97,AA,4.468,116.15,持仓,110.870,-0.4%
113039,嘉泽转债,104.980,11.54%,1.92,AA,5.222,116.52,持仓,105.190,-0.2%
127028,英特转债,111.281,5.53%,1.94,AA+,5.589,116.81,持仓,112.357,-1.0%
113591,胜达转债,106.830,10.07%,1.94,AA-,5.074,116.90,持仓,106.010,0.8%
123080,海波转债,110.198,7.24%,2.59,A+,5.496,117.44,持仓,112.495,-2.0%
127034,绿茵转债,105.534,12.63%,1.69,AA-,5.904,118.16,持仓,104.537,1.0%
123097,美力转债,110.614,9.32%,2.21,A+,5.649,119.93,持仓,109.905,0.6%
110057,现代转债,116.920,5.79%,1.34,AAA,3.825,122.71,清仓,116.280,0.6%
123089,九洲转2,124.753,-2.15%,1.63,AA-,5.551,122.60,清仓,115.625,7.9%
