代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128021,兄弟转债,120.075,16.49%,1.90,AA,1.784,136.56,建仓,120.075,0%
113549,白电转债,124.310,12.97%,1.61,AA,3.748,137.28,建仓,124.310,0%
113570,百达转债,125.100,12.41%,2.58,A+,4.066,137.51,建仓,125.100,0%
127027,靖远转债,129.968,7.90%,1.04,AA+,4.816,137.87,建仓,129.968,0%
123107,温氏转债,129.500,8.92%,3.69,AAA,5.115,138.42,建仓,129.500,0%
128100,搜特转债,100.427,13.77%,2.71,A,4.068,114.20,持仓,104.136,-3.6%
113591,胜达转债,123.470,6.04%,2.31,AA-,4.373,129.51,持仓,126.840,-2.7%
113033,利群转债,112.810,17.33%,1.26,AA,4.123,130.14,持仓,118.660,-4.9%
110064,建工转债,129.890,0.41%,1.02,AA+,3.844,130.30,持仓,141.090,-7.9%
128081,海亮转债,126.356,5.01%,2.15,AA,3.767,131.37,持仓,134.847,-6.3%
127042,嘉美转债,130.427,2.28%,2.60,AA,5.482,132.71,持仓,134.619,-3.1%
113567,君禾转债,127.270,7.12%,4.36,A+,4.047,134.39,持仓,134.810,-5.6%
113017,吉视转债,123.520,11.07%,1.10,AA+,1.863,134.59,持仓,131.070,-5.8%
128075,远东转债,121.914,12.95%,1.05,AA,3.605,134.86,持仓,128.153,-4.9%
128087,孚日转债,124.722,11.58%,1.22,AA-,3.838,136.30,持仓,126.265,-1.2%
123097,美力转债,122.269,15.20%,2.19,A+,4.948,137.47,持仓,129.001,-5.2%
128044,岭南转债,130.323,7.20%,1.45,AA-,2.496,137.52,持仓,135.035,-3.5%
127040,国泰转债,132.220,5.35%,1.81,AA+,5.389,137.57,持仓,138.150,-4.3%
128066,亚泰转债,116.644,20.95%,1.58,AA-,3.170,137.59,持仓,120.750,-3.4%
128040,华通转债,128.301,9.89%,1.77,AA,2.326,138.19,持仓,134.296,-4.5%
110057,现代转债,115.450,24.47%,1.08,AAA,3.123,139.92,清仓,120.060,-3.8%
110079,杭银转债,123.030,8.50%,0.99,AAA,5.118,131.53,清仓,130.470,-5.7%
128107,交科转债,128.995,4.80%,0.97,AA+,4.184,133.80,清仓,137.234,-6.0%
123080,海波转债,126.829,12.89%,2.74,A+,4.795,139.72,清仓,131.394,-3.5%
128121,宏川转债,122.833,17.34%,4.09,AA-,4.416,140.17,清仓,128.454,-4.4%
