代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127007,湖广转债,137.579,-1.07%,1.32,AA+,2.477,136.51,建仓,137.579,0%
128121,宏川转债,135.894,5.38%,5.04,AA-,4.526,141.27,建仓,135.894,0%
113609,永安转债,133.360,8.05%,1.38,AA-,4.882,141.41,建仓,133.360,0%
123080,海波转债,129.005,12.75%,2.79,A+,4.904,141.75,建仓,129.005,0%
128100,搜特转债,111.049,8.37%,3.14,A,4.178,119.42,持仓,110.900,0.1%
113026,核能转债,132.580,1.02%,1.76,AAA,3.271,133.60,持仓,138.700,-4.4%
113017,吉视转债,119.800,14.17%,1.04,AA+,1.973,133.97,持仓,120.380,-0.5%
127042,嘉美转债,125.871,8.88%,2.37,AA,5.592,134.75,持仓,126.179,-0.2%
128087,孚日转债,126.752,11.62%,1.24,AA-,3.948,138.37,持仓,129.263,-1.9%
128037,岩土转债,118.519,20.46%,1.33,AA,2.189,138.98,持仓,117.796,0.6%
128066,亚泰转债,119.131,20.43%,1.62,AA-,3.279,139.56,持仓,119.729,-0.5%
113033,利群转债,112.900,27.04%,1.16,AA,4.233,139.94,持仓,113.050,-0.1%
113610,灵康转债,128.960,11.04%,4.91,AA-,4.901,140.00,持仓,129.440,-0.4%
128044,岭南转债,122.586,17.45%,1.24,AA-,2.605,140.04,持仓,124.520,-1.6%
110057,现代转债,121.850,18.82%,1.19,AAA,3.233,140.67,持仓,123.520,-1.4%
128081,海亮转债,135.296,5.72%,2.29,AA,3.877,141.02,持仓,134.563,0.5%
127020,中金转债,124.513,17.18%,1.37,AA+,4.534,141.69,持仓,124.290,0.2%
113567,君禾转债,130.400,11.71%,4.29,A+,4.156,142.11,持仓,130.950,-0.4%
123097,美力转债,132.200,9.93%,2.48,A+,5.058,142.13,持仓,133.727,-1.1%
113591,胜达转债,139.660,2.64%,2.70,AA-,4.482,142.30,持仓,136.410,2.4%
110071,湖盐转债,130.840,14.51%,2.55,AA,4.507,145.35,清仓,131.050,-0.2%
127028,英特转债,131.100,15.23%,2.04,AA+,4.997,146.33,清仓,128.000,2.4%
113570,百达转债,128.360,14.71%,2.59,A+,4.175,143.07,清仓,128.290,0.1%
110083,苏租转债,119.740,26.27%,1.12,AAA,5.847,146.01,清仓,117.660,1.8%
