代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127034,绿茵转债,106.350,34.08%,1.40,AA-,5.411,140.43,建仓,106.350,0%
123063,大禹转债,129.060,13.34%,2.67,AA-,4.655,142.40,建仓,129.060,0%
128100,搜特转债,107.100,10.51%,2.95,A,4.277,117.61,持仓,106.113,0.9%
128087,孚日转债,113.095,18.08%,1.04,AA-,4.047,131.18,持仓,112.500,0.5%
128066,亚泰转债,112.760,20.01%,1.54,AA-,3.378,132.77,持仓,112.238,0.5%
113033,利群转债,107.220,25.68%,1.12,AA,4.332,132.90,持仓,107.200,0.0%
110057,现代转债,117.490,18.58%,1.15,AAA,3.332,136.07,持仓,117.780,-0.2%
127042,嘉美转债,125.011,11.30%,2.30,AA,5.690,136.31,持仓,123.788,1.0%
128037,岩土转债,111.988,24.43%,1.22,AA,2.288,136.42,持仓,111.711,0.2%
127028,英特转债,117.200,20.81%,1.72,AA+,5.096,138.01,持仓,117.100,0.1%
127020,中金转债,123.701,14.77%,1.38,AA+,4.633,138.47,持仓,122.801,0.7%
113591,胜达转债,135.200,3.35%,2.58,AA-,4.581,138.55,持仓,132.860,1.8%
128106,华统转债,130.400,8.61%,2.90,AA,4.356,139.01,持仓,130.441,-0.0%
113505,杭电转债,125.310,13.74%,1.94,AA,2.260,139.05,持仓,125.790,-0.4%
113609,永安转债,130.180,10.14%,1.31,AA-,4.981,140.32,持仓,126.940,2.6%
128081,海亮转债,137.230,4.05%,2.36,AA,3.975,141.28,持仓,137.200,0.0%
113610,灵康转债,118.850,22.99%,4.08,AA-,5.000,141.84,持仓,118.840,0.0%
110071,湖盐转债,129.910,12.04%,2.59,AA,4.605,141.95,持仓,128.900,0.8%
123080,海波转债,132.179,10.04%,2.93,A+,5.000,142.22,持仓,130.980,0.9%
123129,锦鸡转债,123.668,18.57%,3.32,AA-,5.926,142.24,持仓,121.432,1.8%
113026,核能转债,134.570,8.45%,1.67,AAA,3.370,143.02,清仓,130.410,3.2%
113601,塞力转债,111.870,32.93%,1.81,AA-,4.721,144.80,清仓,112.460,-0.5%
