代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113048,晶科转债,107.490,10.72%,1.35,AA,5.800,118.21,建仓,107.490,0%
111000,起帆转债,105.170,13.10%,2.62,AA-,5.888,118.27,建仓,105.170,0%
113549,白电转债,105.980,12.84%,1.37,AA,4.364,118.82,建仓,105.980,0%
123063,大禹转债,113.583,5.30%,2.49,AA-,5.063,118.88,建仓,113.583,0%
128087,孚日转债,103.105,4.74%,1.11,AA-,4.455,107.84,持仓,102.602,0.5%
128013,洪涛转债,107.196,0.68%,1.12,A-,1.066,107.88,持仓,106.948,0.2%
128085,鸿达转债,104.101,6.84%,1.33,B,4.452,110.94,持仓,103.761,0.3%
113610,灵康转债,108.880,2.46%,4.31,AA-,5.408,111.34,持仓,106.370,2.4%
113033,利群转债,99.920,11.89%,1.10,AA,4.740,111.81,持仓,99.990,-0.1%
123087,明电转债,107.601,8.13%,3.02,AA-,5.447,115.73,持仓,107.030,0.5%
128081,海亮转债,111.900,4.36%,2.02,AA,4.384,116.26,持仓,113.268,-1.2%
123097,美力转债,115.680,0.60%,2.51,A+,5.564,116.28,持仓,111.285,3.9%
113568,新春转债,112.490,4.05%,1.51,AA-,4.668,116.54,持仓,112.230,0.2%
127028,英特转债,107.150,9.52%,1.80,AA+,5.504,116.67,持仓,107.397,-0.2%
110071,湖盐转债,106.830,10.03%,2.13,AA,5.014,116.86,持仓,106.910,-0.1%
127035,濮耐转债,105.470,11.51%,1.39,AA,4.890,116.98,持仓,105.134,0.3%
113039,嘉泽转债,112.070,6.24%,2.26,AA,5.137,118.31,持仓,112.310,-0.2%
123086,海兰转债,108.700,9.61%,2.67,AA-,5.436,118.31,持仓,108.469,0.2%
127033,中装转2,105.453,13.01%,1.25,AA,5.781,118.46,持仓,105.710,-0.2%
123089,九洲转2,117.559,1.24%,1.48,AA-,5.463,118.80,持仓,116.450,1.0%
128094,星帅转债,119.211,0.68%,2.99,A+,4.537,119.89,清仓,118.804,0.3%
128143,锋龙转债,110.551,9.61%,3.71,A+,5.512,120.16,清仓,110.359,0.2%
123082,北陆转债,110.911,7.97%,2.49,A+,5.425,118.88,清仓,112.308,-1.2%
113609,永安转债,129.450,10.25%,1.32,AA-,5.389,139.70,清仓,113.150,14.4%
