代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113610,灵康转债,118.400,2.15%,4.70,AA-,5.370,120.55,建仓,118.400,0%
113039,嘉泽转债,117.400,4.69%,2.40,AA,5.099,122.09,建仓,117.400,0%
123096,思创转债,113.190,10.78%,2.30,AA-,5.523,123.97,建仓,113.190,0%
128013,洪涛转债,106.900,5.09%,1.07,A-,1.027,111.99,持仓,107.180,-0.3%
128085,鸿达转债,110.302,2.44%,1.47,B,4.414,112.74,持仓,109.779,0.5%
128087,孚日转债,103.297,9.63%,1.06,AA-,4.416,112.93,持仓,103.180,0.1%
113033,利群转债,100.830,12.73%,1.11,AA,4.701,113.56,持仓,100.790,0.0%
110071,湖盐转债,113.100,5.49%,2.35,AA,4.975,118.59,持仓,110.230,2.6%
113609,永安转债,116.660,3.31%,1.27,AA-,5.351,119.97,持仓,115.430,1.1%
127034,绿茵转债,106.951,13.36%,1.70,AA-,5.781,120.31,持仓,107.440,-0.5%
113549,白电转债,108.430,12.26%,1.40,AA,4.326,120.69,持仓,108.560,-0.1%
123087,明电转债,108.686,12.55%,2.93,AA-,5.408,121.24,持仓,108.746,-0.1%
128066,亚泰转债,102.671,18.82%,1.34,AA-,3.748,121.49,持仓,103.130,-0.4%
123086,海兰转债,116.980,5.12%,3.00,AA-,5.397,122.10,持仓,116.918,0.1%
127028,英特转债,108.180,13.96%,1.75,AA+,5.466,122.14,持仓,108.021,0.1%
123097,美力转债,115.921,6.30%,2.36,A+,5.526,122.22,持仓,117.749,-1.6%
128081,海亮转债,115.703,6.57%,2.04,AA,4.345,122.27,持仓,114.489,1.1%
123082,北陆转债,112.023,10.64%,2.45,A+,5.386,122.66,持仓,110.018,1.8%
111000,起帆转债,112.280,10.40%,2.87,AA-,5.849,122.68,持仓,113.680,-1.2%
128141,旺能转债,115.317,7.63%,1.47,AA,5.414,122.95,持仓,114.540,0.7%
123063,大禹转债,115.880,8.26%,2.47,AA-,5.025,124.14,清仓,116.300,-0.4%
128082,华锋转债,127.830,0.01%,2.02,A,4.378,127.84,清仓,122.642,4.2%
123080,海波转债,119.110,6.02%,2.83,A+,5.373,125.13,清仓,117.000,1.8%
