代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128121,宏川转债,130.102,7.55%,4.73,AA-,4.685,137.65,建仓,130.102,0%
128100,搜特转债,101.103,10.66%,2.78,A,4.337,111.76,持仓,99.968,1.1%
113033,利群转债,103.350,21.56%,1.11,AA,4.392,124.91,持仓,102.590,0.7%
113591,胜达转债,127.660,3.54%,2.43,AA-,4.641,131.20,持仓,126.860,0.6%
113609,永安转债,115.470,15.89%,1.11,AA-,5.041,131.36,持仓,115.450,0.0%
128066,亚泰转债,106.770,24.82%,1.40,AA-,3.438,131.59,持仓,107.156,-0.4%
127042,嘉美转债,124.251,7.86%,2.35,AA,5.751,132.11,持仓,123.970,0.2%
127028,英特转债,112.860,19.94%,1.67,AA+,5.156,132.80,持仓,111.830,0.9%
110057,现代转债,113.710,19.32%,1.11,AAA,3.392,133.03,持仓,113.400,0.3%
113505,杭电转债,122.030,11.48%,1.92,AA,2.321,133.51,持仓,122.980,-0.8%
113607,伟20转债,131.780,2.18%,5.59,AA,4.981,133.96,持仓,131.440,0.3%
128106,华统转债,122.098,12.39%,2.62,AA,4.416,134.49,持仓,122.150,-0.0%
128037,岩土转债,108.950,26.03%,1.17,AA,2.348,134.98,持仓,108.880,0.1%
128145,日丰转债,128.080,6.94%,3.20,AA-,5.364,135.02,持仓,130.921,-2.2%
113610,灵康转债,114.040,21.07%,3.98,AA-,5.060,135.11,持仓,113.100,0.8%
123118,惠城转债,114.330,21.05%,2.27,A+,5.658,135.38,持仓,113.828,0.4%
127020,中金转债,118.945,16.68%,1.31,AA+,4.693,135.62,持仓,118.265,0.6%
123063,大禹转债,122.612,13.02%,2.55,AA-,4.715,135.63,持仓,121.290,1.1%
128081,海亮转债,130.048,5.63%,2.21,AA,4.036,135.68,持仓,128.856,0.9%
123080,海波转债,124.386,11.75%,2.71,A+,5.063,136.14,持仓,124.640,-0.2%
123073,同和转债,124.000,14.00%,3.80,A+,4.962,138.00,清仓,121.500,2.1%
