代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127034,绿茵转债,111.080,30.98%,1.50,AA-,5.178,142.06,建仓,111.080,0%
123080,海波转债,133.226,9.18%,2.98,A+,4.770,142.41,建仓,133.226,0%
128100,搜特转债,102.934,13.44%,2.76,BB,4.044,116.37,持仓,101.720,1.2%
113591,胜达转债,126.400,8.77%,2.31,AA-,4.348,135.17,持仓,124.250,1.7%
113033,利群转债,115.500,20.12%,1.26,AA,4.099,135.62,持仓,114.820,0.6%
127042,嘉美转债,132.670,3.71%,2.62,AA,5.458,136.38,持仓,130.100,2.0%
128107,交科转债,132.228,4.35%,1.04,AA+,4.159,136.58,持仓,136.600,-3.2%
128081,海亮转债,131.110,5.52%,2.23,AA,3.742,136.63,持仓,131.071,0.0%
127040,国泰转债,136.920,0.08%,1.97,AA+,5.364,137.00,持仓,134.000,2.2%
128044,岭南转债,128.966,9.77%,1.40,AA-,2.471,138.74,持仓,129.444,-0.4%
128087,孚日转债,123.489,16.26%,1.15,AA-,3.814,139.75,持仓,123.140,0.3%
113017,吉视转债,128.570,11.99%,1.14,AA+,1.838,140.56,持仓,131.110,-1.9%
128075,远东转债,128.045,12.52%,1.11,AA,3.581,140.56,持仓,126.655,1.1%
113567,君禾转债,131.630,8.97%,4.43,A+,4.022,140.60,持仓,129.910,1.3%
110083,苏租转债,118.050,22.80%,1.14,AAA,5.712,140.85,持仓,116.800,1.1%
127027,靖远转债,134.781,6.53%,1.09,AA+,4.792,141.31,持仓,133.500,1.0%
110071,湖盐转债,130.700,11.57%,3.43,AA,4.373,142.27,持仓,129.180,1.2%
128066,亚泰转债,127.864,14.85%,1.83,AA-,3.145,142.71,持仓,118.499,7.9%
127028,英特转债,120.524,22.19%,1.77,AA+,4.863,142.71,持仓,119.381,1.0%
113609,永安转债,119.550,23.53%,1.08,AA-,4.748,143.08,持仓,117.890,1.4%
113549,白电转债,129.720,16.82%,1.63,AA,3.723,146.54,清仓,124.290,4.4%
123097,美力转债,128.582,14.52%,2.32,A+,4.923,143.10,清仓,126.548,1.6%
