代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110068,龙净转债,108.890,35.64%,1.35,AA+,4.296,144.53,建仓,108.890,0%
128073,哈尔转债,122.700,22.27%,2.60,AA-,2.712,144.97,建仓,122.700,0%
128100,搜特转债,107.456,12.31%,2.91,A,4.263,119.77,持仓,107.900,-0.4%
113033,利群转债,107.620,25.74%,1.12,AA,4.318,133.36,持仓,107.480,0.1%
113591,胜达转债,128.270,5.31%,2.40,AA-,4.567,133.58,持仓,132.720,-3.4%
128066,亚泰转债,114.157,20.66%,1.55,AA-,3.364,134.82,持仓,114.073,0.1%
128087,孚日转债,114.400,21.42%,1.02,AA-,4.033,135.82,持仓,113.353,0.9%
128037,岩土转债,112.283,23.86%,1.23,AA,2.274,136.14,持仓,112.201,0.1%
127042,嘉美转债,123.823,13.35%,2.24,AA,5.677,137.17,持仓,124.000,-0.1%
110057,现代转债,117.620,19.57%,1.14,AAA,3.318,137.19,持仓,117.690,-0.1%
127028,英特转债,115.704,22.96%,1.67,AA+,5.082,138.66,持仓,116.222,-0.4%
128075,远东转债,127.906,12.40%,1.11,AA,3.800,140.31,持仓,129.550,-1.3%
113610,灵康转债,124.490,16.00%,4.53,AA-,4.986,140.49,持仓,123.660,0.7%
113609,永安转债,128.820,12.86%,1.27,AA-,4.967,141.68,持仓,130.240,-1.1%
127034,绿茵转债,106.051,36.61%,1.37,AA-,5.397,142.66,持仓,106.485,-0.4%
123063,大禹转债,130.361,12.44%,2.73,AA-,4.641,142.80,持仓,130.028,0.3%
113505,杭电转债,123.700,19.64%,1.81,AA,2.247,143.34,持仓,124.770,-0.9%
123129,锦鸡转债,122.170,21.28%,3.21,AA-,5.912,143.45,持仓,122.520,-0.3%
128081,海亮转债,138.020,5.64%,2.34,AA,3.962,143.66,持仓,137.500,0.4%
127020,中金转债,127.741,15.97%,1.42,AA+,4.619,143.71,持仓,125.535,1.8%
113601,塞力转债,113.900,31.39%,1.86,AA-,4.707,145.29,清仓,113.790,0.1%
128106,华统转债,140.399,8.63%,3.12,AA,4.342,149.03,清仓,130.400,7.7%
