代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128100,搜特转债,77.510,44.09%,1.38,A,4.636,121.60,建仓,77.510,0%
113039,嘉泽转债,119.890,5.82%,2.43,AA,5.088,125.71,建仓,119.890,0%
128037,岩土转债,107.875,18.17%,1.24,AA,2.647,126.05,建仓,107.875,0%
128013,洪涛转债,107.130,4.87%,1.07,A-,1.016,112.00,持仓,107.115,0.0%
113033,利群转债,101.900,12.67%,1.12,AA,4.690,114.57,持仓,101.100,0.8%
128087,孚日转债,103.649,11.05%,1.05,AA-,4.405,114.70,持仓,103.776,-0.1%
128081,海亮转债,119.151,2.54%,2.19,AA,4.334,121.69,持仓,117.487,1.4%
113549,白电转债,110.010,12.17%,1.42,AA,4.315,122.18,持仓,110.130,-0.1%
127034,绿茵转债,107.800,14.55%,1.69,AA-,5.770,122.35,持仓,107.777,0.0%
113609,永安转债,115.580,7.25%,1.21,AA-,5.340,122.83,持仓,117.830,-1.9%
110071,湖盐转债,119.790,4.98%,2.50,AA,4.964,124.77,持仓,116.110,3.2%
127020,中金转债,120.000,5.03%,1.50,AA+,4.992,125.03,持仓,115.352,4.0%
127028,英特转债,107.817,17.27%,1.69,AA+,5.455,125.09,持仓,108.010,-0.2%
127035,濮耐转债,114.160,11.15%,1.51,AA,4.841,125.31,持仓,111.074,2.8%
123097,美力转债,120.920,4.68%,2.50,A+,5.515,125.60,持仓,120.900,0.0%
123087,明电转债,111.691,13.92%,2.97,AA-,5.397,125.61,持仓,112.410,-0.6%
123080,海波转债,119.980,5.90%,2.85,A+,5.362,125.88,持仓,121.100,-0.9%
128066,亚泰转债,103.500,22.38%,1.31,AA-,3.737,125.88,持仓,103.399,0.1%
123082,北陆转债,112.500,13.40%,2.40,A+,5.375,125.90,持仓,112.996,-0.4%
123063,大禹转债,121.299,4.62%,2.68,AA-,5.014,125.92,持仓,118.750,2.1%
110051,中天转债,103.840,25.59%,1.06,AA+,3.605,129.43,清仓,104.580,-0.7%
128085,鸿达转债,126.200,-0.11%,1.72,B,4.403,126.09,清仓,113.187,11.5%
113610,灵康转债,126.850,1.03%,5.09,AA-,5.359,127.88,清仓,118.470,7.1%
