代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128064,司尔转债,119.287,-0.54%,1.20,AA,3.827,118.75,建仓,119.287,0%
127034,绿茵转债,103.807,15.99%,1.61,AA-,5.885,119.80,建仓,103.807,0%
113505,杭电转债,105.750,14.13%,1.59,AA,2.734,119.88,建仓,105.750,0%
128085,鸿达转债,108.000,1.28%,1.45,B,4.518,109.28,持仓,108.517,-0.5%
128013,洪涛转债,105.290,5.29%,1.04,AA-,1.132,110.58,持仓,105.560,-0.3%
128087,孚日转债,102.851,8.91%,1.06,AA,4.521,111.76,持仓,102.800,0.0%
113033,利群转债,99.990,12.87%,1.10,AA,4.805,112.86,持仓,99.810,0.2%
127033,中装转2,101.470,11.70%,1.23,AA,5.847,113.17,持仓,101.084,0.4%
128081,海亮转债,109.898,3.83%,2.00,AA,4.449,113.73,持仓,109.661,0.2%
113039,嘉泽转债,106.180,7.74%,1.95,AA,5.203,113.92,持仓,105.520,0.6%
123080,海波转债,110.346,6.04%,2.62,A+,5.477,116.39,持仓,109.175,1.1%
127028,英特转债,108.960,8.40%,1.85,AA+,5.570,117.36,持仓,110.300,-1.2%
110071,湖盐转债,107.830,9.85%,2.12,AA,5.079,117.68,持仓,107.660,0.2%
113610,灵康转债,105.420,12.34%,3.81,AA-,5.474,117.76,持仓,105.390,0.0%
113549,白电转债,103.900,14.62%,1.32,AA,4.430,118.52,持仓,104.160,-0.2%
123097,美力转债,112.019,6.87%,2.29,A+,5.630,118.89,持仓,110.743,1.2%
113591,胜达转债,107.120,11.84%,1.90,AA-,5.055,118.96,持仓,107.240,-0.1%
123087,明电转债,103.720,15.39%,2.73,AA-,5.512,119.11,持仓,104.700,-0.9%
128141,旺能转债,113.878,5.74%,1.48,AA,5.518,119.62,持仓,113.223,0.6%
123086,海兰转债,110.948,8.94%,2.75,AA-,5.501,119.89,持仓,109.163,1.6%
128066,亚泰转债,104.100,15.83%,1.45,AA-,3.852,119.93,清仓,102.506,1.6%
113534,鼎胜转债,140.120,-1.44%,2.44,AA,3.827,138.68,清仓,120.610,16.2%
123063,大禹转债,110.691,9.34%,2.33,AA-,5.129,120.03,清仓,109.998,0.6%
