代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127020,中金转债,125.500,4.89%,1.61,AA+,4.748,130.39,建仓,125.500,0%
123080,海波转债,116.800,15.30%,2.49,A+,5.118,132.10,建仓,116.800,0%
127034,绿茵转债,104.089,28.47%,1.44,AA-,5.526,132.56,建仓,104.089,0%
128100,搜特转债,102.210,6.82%,1.97,A,4.392,109.03,持仓,101.360,0.8%
113033,利群转债,104.160,16.26%,1.19,AA,4.447,120.42,持仓,103.730,0.4%
128087,孚日转债,106.300,15.82%,1.02,AA-,4.162,122.12,持仓,105.930,0.3%
127042,嘉美转债,119.743,4.88%,2.47,AA,5.805,124.62,持仓,120.519,-0.6%
113591,胜达转债,122.510,4.29%,2.33,AA-,4.696,126.80,持仓,121.950,0.5%
113609,永安转债,113.000,13.83%,1.12,AA-,5.096,126.83,持仓,113.000,0.0%
127028,英特转债,109.360,17.98%,1.68,AA+,5.211,127.34,持仓,109.549,-0.2%
113610,灵康转债,113.460,14.53%,4.37,AA-,5.115,127.99,持仓,114.480,-0.9%
128066,亚泰转债,107.138,21.11%,1.47,AA-,3.493,128.25,持仓,105.138,1.9%
113628,晨丰转债,108.530,19.91%,1.80,A,5.844,128.44,持仓,108.440,0.1%
128081,海亮转债,123.000,5.57%,2.15,AA,4.090,128.57,持仓,122.871,0.1%
128037,岩土转债,109.442,20.31%,1.24,AA,2.403,129.75,持仓,108.450,0.9%
123082,北陆转债,113.861,16.23%,2.32,A+,5.132,130.09,持仓,113.699,0.1%
113607,伟20转债,130.090,0.01%,6.14,AA,5.036,130.10,持仓,128.670,1.1%
123063,大禹转债,118.601,12.10%,2.53,AA-,4.770,130.70,持仓,118.210,0.3%
113549,白电转债,125.520,5.26%,1.77,AA,4.071,130.78,持仓,127.210,-1.3%
128143,锋龙转债,121.142,10.55%,4.03,A+,5.219,131.69,持仓,120.591,0.5%
123100,朗科转债,123.150,9.73%,3.42,AA-,5.307,132.88,清仓,122.601,0.4%
127027,靖远转债,120.140,5.92%,0.97,AA+,5.140,126.06,清仓,122.635,-2.0%
128106,华统转债,124.781,7.86%,2.62,AA,4.471,132.64,清仓,121.090,3.0%
