代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113591,胜达转债,129.320,-0.45%,2.58,AA-,4.690,128.87,建仓,129.320,0%
128143,锋龙转债,117.180,13.87%,3.78,A+,5.214,131.05,建仓,117.180,0%
110077,洪城转债,127.540,4.62%,1.43,AA+,5.079,132.16,建仓,127.540,0%
128100,搜特转债,102.189,7.50%,1.95,A,4.386,109.69,持仓,102.244,-0.1%
113033,利群转债,103.870,18.40%,1.17,AA,4.441,122.27,持仓,104.140,-0.3%
127042,嘉美转债,123.400,1.51%,2.62,AA,5.800,124.91,持仓,122.910,0.4%
113607,伟20转债,128.080,-0.40%,6.08,AA,5.030,127.68,持仓,129.590,-1.2%
128081,海亮转债,119.893,8.17%,2.04,AA,4.085,128.06,持仓,123.188,-2.7%
127028,英特转债,109.460,19.15%,1.66,AA+,5.205,128.61,持仓,109.440,0.0%
113609,永安转债,112.630,16.31%,1.09,AA-,5.090,128.94,持仓,112.570,0.1%
113610,灵康转债,113.360,16.05%,4.31,AA-,5.110,129.41,持仓,113.790,-0.4%
127020,中金转债,122.428,7.56%,1.53,AA+,4.742,129.99,持仓,125.804,-2.7%
128106,华统转债,121.815,8.19%,2.55,AA,4.466,130.00,持仓,123.141,-1.1%
113628,晨丰转债,108.400,21.84%,1.77,A,5.838,130.24,持仓,108.370,0.0%
128066,亚泰转债,105.722,24.53%,1.41,AA-,3.488,130.25,持仓,106.320,-0.6%
128037,岩土转债,107.995,22.64%,1.20,AA,2.397,130.63,持仓,108.929,-0.9%
113549,白电转债,122.900,8.30%,1.68,AA,4.066,131.20,持仓,124.290,-1.1%
123100,朗科转债,121.732,9.47%,3.39,AA-,5.301,131.20,持仓,122.750,-0.8%
123082,北陆转债,113.566,18.68%,2.27,A+,5.126,132.25,持仓,113.219,0.3%
113505,杭电转债,113.180,19.24%,1.63,AA,2.370,132.42,持仓,114.600,-1.2%
128087,孚日转债,105.422,18.01%,0.99,AA-,4.156,123.43,清仓,106.300,-0.8%
123063,大禹转债,117.917,15.06%,2.45,AA-,4.764,132.98,清仓,118.601,-0.6%
123080,海波转债,116.600,16.71%,2.46,A+,5.112,133.31,清仓,116.800,-0.2%
