代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110071,湖盐转债,130.200,8.00%,2.69,AA,4.638,138.20,建仓,130.200,0%
128100,搜特转债,103.300,10.09%,2.86,A,4.310,113.39,持仓,103.258,0.0%
128087,孚日转债,110.400,18.29%,1.02,AA-,4.079,128.69,持仓,109.346,1.0%
128066,亚泰转债,110.803,19.71%,1.52,AA-,3.411,130.51,持仓,109.202,1.5%
113033,利群转债,106.500,24.84%,1.12,AA,4.364,131.34,持仓,106.000,0.5%
113609,永安转债,121.290,11.36%,1.21,AA-,5.014,132.65,持仓,119.070,1.9%
113591,胜达转债,129.340,3.38%,2.46,AA-,4.614,132.72,持仓,129.890,-0.4%
127042,嘉美转债,124.809,9.71%,2.32,AA,5.723,134.52,持仓,124.580,0.2%
113610,灵康转债,116.150,19.62%,4.10,AA-,5.033,135.77,持仓,115.510,0.6%
127028,英特转债,117.921,18.10%,1.77,AA+,5.129,136.02,持仓,118.174,-0.2%
128037,岩土转债,110.611,25.61%,1.19,AA,2.321,136.22,持仓,109.400,1.1%
113505,杭电转债,128.270,7.98%,2.08,AA,2.293,136.25,持仓,128.700,-0.3%
110057,现代转债,116.060,20.74%,1.12,AAA,3.364,136.80,持仓,115.510,0.5%
113607,伟20转债,136.870,0.76%,5.88,AA,4.953,137.63,持仓,136.100,0.6%
127020,中金转债,121.351,16.57%,1.34,AA+,4.666,137.92,持仓,120.798,0.5%
128106,华统转债,127.842,10.20%,2.80,AA,4.389,138.04,持仓,128.080,-0.2%
123063,大禹转债,124.250,13.88%,2.56,AA-,4.688,138.13,持仓,124.013,0.2%
123118,惠城转债,117.700,21.32%,2.33,A+,5.630,139.02,持仓,116.631,0.9%
123080,海波转债,129.510,9.55%,2.88,A+,5.036,139.06,持仓,128.556,0.7%
128081,海亮转债,134.800,4.83%,2.31,AA,4.008,139.63,持仓,131.363,2.6%
128143,锋龙转债,132.100,9.76%,4.37,A+,5.137,141.86,清仓,130.833,1.0%
