代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113568,新春转债,108.350,10.20%,1.40,AA-,4.745,118.55,建仓,108.350,0%
128066,亚泰转债,102.990,16.48%,1.43,AA-,3.863,119.47,建仓,102.990,0%
123086,海兰转债,107.920,11.93%,2.60,AA-,5.512,119.85,建仓,107.920,0%
128106,华统转债,113.449,6.86%,2.47,AA,4.841,120.31,建仓,113.449,0%
128085,鸿达转债,112.614,-0.58%,1.49,B,4.529,112.03,持仓,115.598,-2.6%
128013,洪涛转债,105.930,6.39%,1.03,AA-,1.142,112.32,持仓,106.046,-0.1%
127033,中装转2,100.944,11.90%,1.22,AA,5.858,112.84,持仓,101.008,-0.1%
113033,利群转债,100.050,12.94%,1.10,AA,4.816,112.99,持仓,99.990,0.1%
128087,孚日转债,103.890,9.74%,1.06,AA,4.532,113.63,持仓,103.440,0.4%
113039,嘉泽转债,105.420,10.36%,1.95,AA,5.214,115.78,持仓,104.980,0.4%
113610,灵康转债,107.780,8.28%,4.04,AA-,5.485,116.06,持仓,108.690,-0.8%
113591,胜达转债,107.080,9.57%,1.95,AA-,5.066,116.65,持仓,106.830,0.2%
123080,海波转债,109.596,7.18%,2.58,A+,5.488,116.78,持仓,110.198,-0.5%
127028,英特转债,111.591,5.37%,1.95,AA+,5.581,116.96,持仓,111.281,0.3%
128081,海亮转债,110.800,6.65%,1.96,AA,4.460,117.45,持仓,110.458,0.3%
110071,湖盐转债,108.810,10.68%,2.12,AA,5.090,119.49,持仓,108.520,0.3%
123087,明电转债,106.088,13.54%,2.83,AA-,5.523,119.63,持仓,105.317,0.7%
128082,华锋转债,116.783,2.92%,1.79,A+,4.493,119.70,持仓,116.725,0.0%
113505,杭电转债,104.550,15.47%,1.56,AA,2.745,120.02,持仓,103.780,0.7%
128145,日丰转债,114.874,5.31%,3.10,AA-,5.792,120.18,持仓,113.342,1.4%
128105,长集转债,107.587,13.78%,1.98,AA,4.838,121.37,清仓,108.245,-0.6%
113549,白电转债,103.350,17.36%,1.28,AA,4.441,120.71,清仓,103.510,-0.2%
127034,绿茵转债,104.763,15.80%,1.63,AA-,5.896,120.56,清仓,104.537,0.2%
123097,美力转债,110.410,10.18%,2.19,A+,5.641,120.59,清仓,109.905,0.5%
