代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127027,靖远转债,125.378,5.73%,1.04,AA+,5.241,131.11,建仓,125.378,0%
110057,现代转债,119.000,14.00%,1.24,AAA,3.548,133.00,建仓,119.000,0%
128106,华统转债,114.225,19.18%,2.17,AA,4.573,133.41,建仓,114.225,0%
123082,北陆转债,120.620,12.93%,2.53,A+,5.233,133.55,建仓,120.620,0%
128100,搜特转债,114.180,7.54%,2.18,A,4.493,121.72,持仓,114.679,-0.4%
128087,孚日转债,109.620,14.19%,1.06,AA-,4.263,123.81,持仓,108.796,0.8%
113033,利群转债,107.530,19.08%,1.20,AA,4.548,126.61,持仓,107.670,-0.1%
127042,嘉美转债,121.403,6.72%,2.46,AA,5.907,128.12,持仓,121.450,-0.0%
127034,绿茵转债,107.800,21.77%,1.58,AA-,5.627,129.57,持仓,107.306,0.5%
113591,胜达转债,114.910,14.91%,1.99,AA-,4.797,129.82,持仓,115.870,-0.8%
128066,亚泰转债,108.366,21.47%,1.48,AA-,3.595,129.84,持仓,108.136,0.2%
113609,永安转债,122.340,8.16%,1.27,AA-,5.197,130.50,持仓,121.070,1.0%
123097,美力转债,121.110,9.76%,2.31,A+,5.373,130.87,持仓,121.140,-0.0%
113570,百达转债,121.060,10.80%,2.48,A+,4.490,131.86,持仓,121.040,0.0%
128037,岩土转债,116.614,15.49%,1.38,AA,2.504,132.10,持仓,114.600,1.8%
113607,伟20转债,131.540,0.66%,6.17,AA,5.137,132.20,持仓,132.650,-0.8%
123080,海波转债,122.550,10.44%,2.73,A+,5.219,132.99,持仓,122.134,0.3%
128143,锋龙转债,121.402,11.66%,4.00,A+,5.321,133.06,持仓,120.185,1.0%
113610,灵康转债,118.230,14.90%,4.50,AA-,5.216,133.13,持仓,118.590,-0.3%
127028,英特转债,111.913,21.24%,1.67,AA+,5.312,133.15,持仓,111.585,0.3%
113505,杭电转债,115.220,20.67%,1.64,AA,2.477,135.89,清仓,113.650,1.4%
128026,众兴转债,119.973,13.96%,1.56,AA-,2.249,133.93,清仓,121.680,-1.4%
123118,惠城转债,124.313,9.92%,2.92,A+,5.814,134.23,清仓,120.018,3.6%
128063,未来转债,118.530,15.06%,3.29,AA-,3.556,133.59,清仓,120.105,-1.3%
