代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110084,贵燃转债,117.700,24.43%,3.87,AA,5.940,142.13,建仓,117.700,0%
113549,白电转债,138.660,4.17%,1.95,AA,3.822,142.83,建仓,138.660,0%
128100,搜特转债,113.113,11.74%,3.08,A,4.142,124.85,持仓,112.908,0.2%
113026,核能转债,126.140,-0.31%,1.70,AAA,3.236,125.83,持仓,122.350,3.1%
127042,嘉美转债,124.159,11.35%,2.28,AA,5.556,135.51,持仓,124.173,-0.0%
113609,永安转债,126.970,9.85%,1.29,AA-,4.847,136.82,持仓,129.490,-1.9%
113591,胜达转债,138.910,-0.59%,2.78,AA-,4.447,138.32,持仓,140.100,-0.8%
113033,利群转债,112.870,25.79%,1.18,AA,4.197,138.66,持仓,111.960,0.8%
128066,亚泰转债,118.801,21.56%,1.60,AA-,3.244,140.36,持仓,117.010,1.5%
128081,海亮转债,135.500,5.55%,2.30,AA,3.841,141.05,持仓,137.916,-1.8%
113017,吉视转债,139.800,1.88%,1.36,AA+,1.937,141.68,持仓,134.930,3.6%
128087,孚日转债,126.730,14.98%,1.20,AA-,3.912,141.71,持仓,125.488,1.0%
110045,海澜转债,115.580,26.75%,1.89,AA+,2.482,142.33,持仓,117.060,-1.3%
113610,灵康转债,124.220,18.18%,4.44,AA-,4.866,142.40,持仓,125.220,-0.8%
127028,英特转债,125.705,17.36%,1.92,AA+,4.962,143.06,持仓,126.900,-0.9%
123080,海波转债,132.355,10.82%,2.91,A+,4.868,143.17,持仓,131.110,0.9%
113567,君禾转债,134.700,8.62%,4.55,A+,4.121,143.32,持仓,136.990,-1.7%
123111,东财转3,143.340,0.54%,8.41,AA+,5.214,143.88,持仓,142.551,0.6%
110057,现代转债,122.010,22.01%,1.16,AAA,3.197,144.02,持仓,121.680,0.3%
128037,岩土转债,120.994,23.39%,1.33,AA,2.153,144.38,持仓,117.999,2.5%
127020,中金转债,126.567,18.86%,1.37,AA+,4.499,145.43,清仓,125.681,0.7%
123082,北陆转债,123.847,23.01%,2.37,A+,4.882,146.86,清仓,125.300,-1.2%
