代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123106,正丹转债,110.288,7.71%,2.55,AA-,5.753,118.00,建仓,110.288,0%
127034,绿茵转债,101.350,16.72%,1.56,AA-,5.855,118.07,建仓,101.350,0%
128087,孚日转债,101.889,7.89%,1.06,AA-,4.490,109.78,持仓,102.214,-0.3%
128085,鸿达转债,106.750,3.57%,1.40,B,4.488,110.32,持仓,105.381,1.3%
128013,洪涛转债,107.680,3.23%,1.08,AA-,1.101,110.91,持仓,106.955,0.7%
113033,利群转债,99.400,12.38%,1.09,AA,4.775,111.78,持仓,99.180,0.2%
128081,海亮转债,109.395,3.55%,2.00,AA,4.419,112.94,持仓,108.127,1.2%
110071,湖盐转债,107.410,7.25%,2.17,AA,5.049,114.66,持仓,106.290,1.1%
127033,中装转2,100.261,14.69%,1.17,AA,5.816,114.95,持仓,99.992,0.3%
127035,濮耐转债,105.930,9.65%,1.42,AA,4.926,115.58,持仓,104.978,0.9%
111000,起帆转债,106.510,9.44%,2.74,AA-,5.923,115.95,持仓,104.870,1.6%
123087,明电转债,105.901,10.36%,2.91,AA-,5.482,116.26,持仓,105.500,0.4%
123063,大禹转债,117.500,-1.13%,2.74,AA-,5.099,116.37,持仓,109.370,7.4%
123097,美力转债,112.750,3.96%,2.37,A+,5.600,116.71,持仓,111.314,1.3%
113609,永安转债,116.520,0.43%,1.30,AA-,5.425,116.95,持仓,116.960,-0.4%
123080,海波转债,109.017,7.99%,2.54,A+,5.447,117.01,持仓,106.988,1.9%
113610,灵康转债,105.520,11.89%,3.83,AA-,5.444,117.41,持仓,105.500,0.0%
127028,英特转债,108.730,8.73%,1.84,AA+,5.540,117.46,持仓,108.152,0.5%
123086,海兰转债,113.399,4.29%,2.93,AA-,5.471,117.69,持仓,111.135,2.0%
113505,杭电转债,106.580,11.30%,1.65,AA,2.704,117.88,持仓,105.950,0.6%
123085,万顺转2,112.040,8.37%,1.22,AA-,5.471,120.41,清仓,100.200,11.8%
113549,白电转债,103.190,15.55%,1.30,AA,4.400,118.74,清仓,102.550,0.6%
