代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113549,白电转债,124.290,14.32%,1.59,AA,3.729,138.61,建仓,124.290,0%
123097,美力转债,126.548,12.92%,2.31,A+,4.929,139.47,建仓,126.548,0%
110083,苏租转债,116.650,23.49%,1.11,AAA,5.718,140.14,建仓,116.650,0%
128100,搜特转债,101.593,12.73%,2.74,BB,4.049,114.32,持仓,101.126,0.5%
113591,胜达转债,123.800,7.59%,2.29,AA-,4.353,131.39,持仓,124.180,-0.3%
113033,利群转债,114.140,18.71%,1.26,AA,4.104,132.85,持仓,114.650,-0.4%
110079,杭银转债,126.000,8.18%,1.02,AAA,5.099,134.18,持仓,126.480,-0.4%
127042,嘉美转债,130.735,3.53%,2.58,AA,5.463,134.27,持仓,131.145,-0.3%
127040,国泰转债,132.235,2.38%,1.86,AA+,5.370,134.62,持仓,133.602,-1.0%
128044,岭南转债,129.021,5.87%,1.45,AA-,2.477,134.89,持仓,132.743,-2.8%
113567,君禾转债,127.550,7.78%,4.34,A+,4.027,135.33,持仓,127.930,-0.3%
128066,亚泰转债,119.724,16.09%,1.69,AA-,3.151,135.81,持仓,119.657,0.1%
128081,海亮转债,130.870,4.98%,2.24,AA,3.748,135.85,持仓,130.587,0.2%
128087,孚日转债,123.040,12.99%,1.18,AA-,3.819,136.03,持仓,122.850,0.2%
113017,吉视转债,126.140,12.06%,1.11,AA+,1.844,138.20,持仓,127.520,-1.1%
128075,远东转债,126.130,12.90%,1.09,AA,3.586,139.03,持仓,126.000,0.1%
127034,绿茵转债,111.000,28.31%,1.53,AA-,5.184,139.31,持仓,111.619,-0.6%
128037,岩土转债,124.313,15.04%,1.47,AA,2.060,139.35,持仓,122.375,1.6%
127028,英特转债,118.111,21.70%,1.74,AA+,4.868,139.81,持仓,118.408,-0.3%
110064,建工转债,141.940,-1.83%,1.15,AA+,3.825,140.11,持仓,135.200,5.0%
113610,灵康转债,118.710,24.19%,4.03,AA-,4.773,142.90,清仓,117.770,0.8%
128107,交科转债,148.600,-0.68%,1.18,AA+,4.164,147.92,清仓,135.908,9.3%
113609,永安转债,116.540,23.83%,1.05,AA-,4.753,140.37,清仓,116.580,-0.0%
