代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127018,本钢转债,129.554,-1.16%,1.10,AAA,4.784,128.39,建仓,129.554,0%
128143,锋龙转债,119.500,9.60%,4.01,A+,5.312,129.10,建仓,119.500,0%
113024,核建转债,115.310,14.71%,1.48,AAA,3.559,130.02,建仓,115.310,0%
128100,搜特转债,109.399,6.12%,2.12,A,4.485,115.52,持仓,110.742,-1.2%
113033,利群转债,103.250,14.71%,1.20,AA,4.540,117.96,持仓,104.260,-1.0%
128087,孚日转债,105.300,12.83%,1.03,AA-,4.255,118.13,持仓,107.270,-1.8%
128066,亚泰转债,104.260,18.01%,1.47,AA-,3.586,122.27,持仓,105.762,-1.4%
127042,嘉美转债,119.000,4.98%,2.45,AA,5.899,123.98,持仓,119.080,-0.1%
127027,靖远转债,121.553,2.51%,1.04,AA+,5.233,124.06,持仓,123.233,-1.4%
113609,永安转债,114.520,10.88%,1.16,AA-,5.189,125.40,持仓,118.120,-3.0%
128037,岩土转债,113.262,12.17%,1.37,AA,2.496,125.43,持仓,116.550,-2.8%
113591,胜达转债,113.620,11.83%,2.02,AA-,4.789,125.45,持仓,114.690,-0.9%
127034,绿茵转债,104.795,21.81%,1.53,AA-,5.619,126.61,持仓,105.970,-1.1%
127028,英特转债,108.000,19.21%,1.64,AA+,5.304,127.21,持仓,109.310,-1.2%
123082,北陆转债,117.783,9.92%,2.54,A+,5.225,127.70,持仓,120.118,-1.9%
123097,美力转债,118.500,9.21%,2.27,A+,5.364,127.71,持仓,119.394,-0.7%
113505,杭电转债,111.840,16.10%,1.66,AA,2.468,127.94,持仓,114.440,-2.3%
123063,大禹转债,121.081,7.30%,2.70,AA-,4.863,128.38,持仓,123.120,-1.7%
113607,伟20转债,126.830,1.98%,5.88,AA,5.129,128.81,持仓,128.250,-1.1%
128106,华统转债,120.280,9.32%,2.50,AA,4.564,129.60,持仓,115.108,4.5%
128057,博彦转债,127.139,3.42%,1.79,AA-,3.468,130.56,清仓,127.000,0.1%
113610,灵康转债,114.280,16.30%,4.29,AA-,5.208,130.58,清仓,118.270,-3.4%
128133,奇正转债,116.664,14.66%,4.68,AA,5.016,131.32,清仓,121.304,-3.8%
