代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123080,海波转债,127.288,1.65%,3.15,A+,5.323,128.94,建仓,127.288,0%
123118,惠城转债,119.099,10.63%,2.75,A+,5.918,129.73,建仓,119.099,0%
128087,孚日转债,101.939,14.40%,1.00,AA-,4.367,116.34,持仓,101.902,0.0%
113033,利群转债,103.800,12.81%,1.14,AA,4.652,116.61,持仓,103.960,-0.2%
127034,绿茵转债,105.381,18.39%,1.60,AA-,5.732,123.77,持仓,104.902,0.5%
127028,英特转债,108.650,15.55%,1.73,AA+,5.416,124.20,持仓,109.339,-0.6%
127020,中金转债,120.399,4.20%,1.52,AA+,4.953,124.60,持仓,117.455,2.5%
128085,鸿达转债,126.210,-0.31%,1.72,B,4.364,125.90,持仓,123.410,2.3%
123063,大禹转债,118.000,7.94%,2.53,AA-,4.975,125.94,持仓,117.820,0.2%
113609,永安转债,112.100,14.04%,1.12,AA-,5.301,126.14,持仓,111.990,0.1%
123097,美力转债,123.300,3.18%,2.59,A+,5.477,126.48,持仓,123.758,-0.4%
113549,白电转债,115.370,11.94%,1.49,AA,4.277,127.31,持仓,114.960,0.4%
128081,海亮转债,122.700,4.67%,2.21,AA,4.296,127.37,持仓,121.687,0.8%
123082,北陆转债,112.600,14.82%,2.37,A+,5.337,127.42,持仓,113.524,-0.8%
113610,灵康转债,127.140,0.62%,5.12,AA-,5.321,127.76,持仓,121.780,4.4%
128066,亚泰转债,102.096,25.69%,1.26,AA-,3.699,127.79,持仓,102.017,0.1%
110057,现代转债,112.290,16.09%,1.16,AAA,3.652,128.38,持仓,112.870,-0.5%
128037,岩土转债,107.437,21.11%,1.20,AA,2.608,128.55,持仓,107.391,0.0%
128141,旺能转债,114.243,14.46%,1.37,AA,5.364,128.70,持仓,114.444,-0.2%
113039,嘉泽转债,122.460,6.73%,2.46,AA,5.049,129.19,持仓,121.720,0.6%
113591,胜达转债,104.240,27.18%,1.62,AA-,4.901,131.42,清仓,104.420,-0.2%
128090,汽模转2,135.350,31.32%,1.96,AA-,4.395,166.67,清仓,110.877,22.1%
