代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113541,荣晟转债,126.130,3.73%,2.01,AA-,3.770,129.86,建仓,126.130,0%
128100,搜特转债,100.400,6.31%,1.94,A,4.405,106.71,持仓,103.048,-2.6%
113033,利群转债,103.490,15.71%,1.19,AA,4.460,119.20,持仓,103.430,0.1%
128087,孚日转债,104.999,14.68%,1.01,AA-,4.175,119.68,持仓,105.173,-0.2%
128066,亚泰转债,106.975,13.85%,1.55,AA-,3.507,120.82,持仓,106.696,0.3%
113549,白电转债,119.400,3.47%,1.71,AA,4.085,122.87,持仓,120.020,-0.5%
127042,嘉美转债,119.450,3.69%,2.49,AA,5.819,123.14,持仓,119.880,-0.4%
113591,胜达转债,119.840,3.73%,2.29,AA-,4.710,123.57,持仓,121.380,-1.3%
113610,灵康转债,116.280,8.47%,4.73,AA-,5.129,124.75,持仓,116.550,-0.2%
113607,伟20转债,124.720,0.18%,5.88,AA,5.049,124.90,持仓,123.870,0.7%
113600,新星转债,124.720,1.00%,2.82,AA-,4.827,125.72,持仓,125.350,-0.5%
127028,英特转债,107.970,18.21%,1.65,AA+,5.225,126.18,持仓,108.598,-0.6%
128037,岩土转债,108.225,18.55%,1.24,AA,2.416,126.77,持仓,108.330,-0.1%
128081,海亮转债,122.008,4.81%,2.15,AA,4.104,126.82,持仓,123.600,-1.3%
128106,华统转债,122.404,4.93%,2.65,AA,4.485,127.33,持仓,123.010,-0.5%
113609,永安转债,113.870,14.71%,1.12,AA-,5.110,128.58,持仓,113.360,0.4%
113628,晨丰转债,108.300,20.48%,1.79,A,5.858,128.78,持仓,108.430,-0.1%
128133,奇正转债,111.763,18.19%,4.35,AA,4.937,129.95,持仓,117.680,-5.0%
110057,现代转债,117.540,12.49%,1.24,AAA,3.460,130.03,持仓,117.890,-0.3%
123082,北陆转债,114.992,15.12%,2.37,A+,5.145,130.11,持仓,115.420,-0.4%
127020,中金转债,123.775,6.72%,1.56,AA+,4.762,130.50,清仓,117.881,5.0%
