代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127033,中装转2,107.380,15.86%,1.25,AA,5.753,123.24,建仓,107.380,0%
128145,日丰转债,113.898,9.57%,2.95,AA-,5.688,123.47,建仓,113.898,0%
128013,洪涛转债,107.225,2.79%,1.09,A-,1.038,110.02,持仓,108.047,-0.8%
128087,孚日转债,103.160,8.72%,1.07,AA-,4.427,111.88,持仓,103.320,-0.2%
128085,鸿达转债,108.128,3.88%,1.42,B,4.425,112.01,持仓,107.432,0.6%
113033,利群转债,100.750,12.46%,1.11,AA,4.712,113.21,持仓,100.920,-0.2%
113610,灵康转债,110.240,7.37%,4.16,AA-,5.381,117.61,持仓,112.160,-1.7%
127034,绿茵转债,107.740,11.34%,1.74,AA-,5.792,119.08,持仓,108.380,-0.6%
113549,白电转债,107.170,12.14%,1.38,AA,4.337,119.31,持仓,107.090,0.1%
128066,亚泰转债,102.849,16.83%,1.36,AA-,3.759,119.68,持仓,103.210,-0.3%
128081,海亮转债,114.887,5.03%,2.06,AA,4.356,119.92,持仓,114.061,0.7%
123080,海波转债,117.000,3.27%,2.85,A+,5.384,120.27,持仓,118.060,-0.9%
110071,湖盐转债,110.730,9.56%,2.22,AA,4.986,120.29,持仓,111.010,-0.3%
127028,英特转债,108.220,12.33%,1.77,AA+,5.477,120.55,持仓,109.070,-0.8%
113609,永安转债,115.830,5.18%,1.24,AA-,5.362,121.01,持仓,116.380,-0.5%
123087,明电转债,109.339,12.02%,2.96,AA-,5.419,121.36,持仓,110.877,-1.4%
123082,北陆转债,110.720,11.10%,2.41,A+,5.397,121.82,持仓,111.603,-0.8%
128141,旺能转债,115.284,6.85%,1.48,AA,5.425,122.13,持仓,113.851,1.3%
123097,美力转债,121.701,1.20%,2.61,A+,5.537,122.90,持仓,118.630,2.6%
113591,胜达转债,104.740,18.70%,1.75,AA-,4.962,123.44,持仓,105.060,-0.3%
123086,海兰转债,120.200,4.03%,2.08,AA-,5.408,124.23,清仓,115.020,4.5%
128037,岩土转债,109.126,16.25%,1.27,AA,2.668,125.38,清仓,108.700,0.4%
