代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128100,搜特转债,100.442,8.48%,1.90,A,4.359,108.92,持仓,99.676,0.8%
113033,利群转债,103.080,18.27%,1.16,AA,4.414,121.35,持仓,102.000,1.1%
113591,胜达转债,122.380,2.59%,2.35,AA-,4.663,124.97,持仓,122.580,-0.2%
128081,海亮转债,118.682,6.98%,2.04,AA,4.058,125.66,持仓,117.559,1.0%
127028,英特转债,109.869,16.76%,1.67,AA+,5.178,126.63,持仓,108.400,1.4%
113549,白电转债,120.030,6.63%,1.67,AA,4.038,126.66,持仓,122.480,-2.0%
127042,嘉美转债,125.650,1.82%,2.52,AA,5.773,127.47,持仓,125.808,-0.1%
128106,华统转债,121.034,8.74%,2.69,AA,4.438,129.77,持仓,120.521,0.4%
123063,大禹转债,117.823,12.47%,2.46,AA-,4.737,130.29,持仓,117.161,0.6%
127020,中金转债,119.500,11.33%,1.45,AA+,4.715,130.83,持仓,117.463,1.7%
128037,岩土转债,107.039,23.82%,1.17,AA,2.370,130.86,持仓,106.827,0.2%
128066,亚泰转债,105.502,25.39%,1.38,AA-,3.460,130.89,持仓,104.672,0.8%
113607,伟20转债,127.600,3.33%,5.36,AA,5.000,130.93,持仓,128.580,-0.8%
110057,现代转债,113.850,17.20%,1.13,AAA,3.414,131.05,持仓,113.690,0.1%
113541,荣晟转债,126.660,4.57%,2.00,AA-,3.723,131.23,持仓,129.550,-2.2%
113609,永安转债,112.080,19.55%,1.04,AA-,5.063,131.63,持仓,111.590,0.4%
123080,海波转债,122.500,9.20%,2.73,A+,5.085,131.70,持仓,120.422,1.7%
113505,杭电转债,117.910,14.83%,1.80,AA,2.342,132.74,持仓,117.610,0.3%
113026,核能转债,126.720,6.78%,1.59,AAA,3.452,133.50,持仓,125.920,0.6%
113610,灵康转债,112.500,21.07%,4.10,AA-,5.082,133.57,持仓,112.000,0.4%
