代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128013,洪涛转债,103.399,7.09%,1.01,A-,1.000,110.49,建仓,103.399,0%
128087,孚日转债,100.138,11.81%,1.01,AA-,4.389,111.95,建仓,100.138,0%
127020,中金转债,116.300,5.78%,1.44,AA+,4.975,122.08,建仓,116.300,0%
113033,利群转债,100.150,12.15%,1.10,AA,4.674,112.30,持仓,100.040,0.1%
128100,搜特转债,79.370,34.59%,1.52,A,4.619,113.96,持仓,79.941,-0.7%
128085,鸿达转债,115.910,1.16%,1.56,B,4.386,117.07,持仓,113.333,2.3%
123080,海波转债,114.809,4.69%,2.76,A+,5.345,119.50,持仓,113.650,1.0%
113610,灵康转债,116.530,3.33%,4.55,AA-,5.342,119.86,持仓,115.220,1.1%
113609,永安转债,108.680,11.52%,1.09,AA-,5.323,120.20,持仓,107.900,0.7%
128081,海亮转债,117.138,3.10%,2.14,AA,4.318,120.24,持仓,117.623,-0.4%
127034,绿茵转债,103.657,16.88%,1.60,AA-,5.753,120.54,持仓,102.690,0.9%
110071,湖盐转债,116.160,4.75%,2.44,AA,4.948,120.91,持仓,115.050,1.0%
113549,白电转债,110.140,10.89%,1.44,AA,4.299,121.03,持仓,108.970,1.1%
127028,英特转债,105.417,16.16%,1.67,AA+,5.438,121.58,持仓,104.490,0.9%
113039,嘉泽转债,117.190,4.77%,2.40,AA,5.071,121.96,持仓,114.430,2.4%
123086,海兰转债,116.294,6.21%,2.95,AA-,5.370,122.50,持仓,114.846,1.3%
123097,美力转债,113.837,9.13%,2.26,A+,5.499,122.97,持仓,111.400,2.2%
123063,大禹转债,114.243,9.70%,2.41,AA-,4.997,123.94,持仓,113.260,0.9%
128066,亚泰转债,100.329,23.85%,1.25,AA-,3.721,124.18,持仓,99.305,1.0%
127035,濮耐转债,112.000,12.51%,1.47,AA,4.825,124.51,持仓,111.404,0.5%
128026,众兴转债,119.600,8.43%,1.83,AA-,2.375,128.03,清仓,116.552,2.6%
123082,北陆转债,109.103,16.36%,2.27,A+,5.359,125.46,清仓,109.500,-0.4%
128057,博彦转债,117.553,6.98%,1.59,AA-,3.603,124.53,清仓,120.859,-2.7%
