代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127027,靖远转债,128.659,-4.90%,1.19,AA+,5.164,123.76,建仓,128.659,0%
127042,嘉美转债,120.373,3.57%,2.51,AA,5.830,123.94,建仓,120.373,0%
113549,白电转债,125.070,0.49%,1.81,AA,4.096,125.56,建仓,125.070,0%
128106,华统转债,126.520,1.41%,2.83,AA,4.496,127.93,建仓,126.520,0%
113607,伟20转债,126.860,1.18%,5.92,AA,5.060,128.04,建仓,126.860,0%
113026,核能转债,125.470,3.59%,1.67,AAA,3.510,129.06,建仓,125.470,0%
128141,旺能转债,125.210,3.87%,1.66,AA,5.184,129.08,建仓,125.210,0%
113628,晨丰转债,109.620,19.61%,1.83,A,5.868,129.23,建仓,109.620,0%
123073,同和转债,123.815,5.76%,4.21,A+,5.041,129.57,建仓,123.815,0%
128100,搜特转债,104.831,6.14%,2.03,A,4.416,110.97,持仓,111.953,-6.4%
128087,孚日转债,105.980,13.82%,1.03,AA-,4.186,119.80,持仓,109.200,-2.9%
113033,利群转债,104.940,16.21%,1.20,AA,4.471,121.15,持仓,107.100,-2.0%
113505,杭电转债,116.550,9.01%,1.84,AA,2.400,125.56,持仓,114.520,1.8%
128037,岩土转债,109.899,16.27%,1.28,AA,2.427,126.17,持仓,116.013,-5.3%
113591,胜达转债,120.200,6.03%,2.25,AA-,4.721,126.23,持仓,116.810,2.9%
127028,英特转债,108.904,17.87%,1.67,AA+,5.236,126.77,持仓,112.319,-3.0%
128066,亚泰转债,104.960,22.39%,1.42,AA-,3.518,127.35,持仓,108.898,-3.6%
113610,灵康转债,115.870,11.71%,4.53,AA-,5.140,127.58,持仓,119.470,-3.0%
127020,中金转债,120.821,6.96%,1.49,AA+,4.773,127.78,持仓,135.250,-10.7%
123082,北陆转债,116.673,11.85%,2.47,A+,5.156,128.52,持仓,121.594,-4.0%
113609,永安转债,113.360,16.83%,1.09,AA-,5.121,130.19,清仓,122.150,-7.2%
127034,绿茵转债,104.690,26.45%,1.48,AA-,5.551,131.14,清仓,107.369,-2.5%
123097,美力转债,118.166,14.70%,2.15,A+,5.296,132.87,清仓,123.900,-4.6%
128063,未来转债,114.710,26.79%,2.89,AA-,3.479,141.50,清仓,120.836,-5.1%
123118,惠城转债,115.800,15.73%,2.59,A+,5.737,131.53,清仓,120.034,-3.5%
123063,大禹转债,120.400,10.14%,2.62,AA-,4.795,130.54,清仓,122.300,-1.6%
110057,现代转债,118.410,11.79%,1.26,AAA,3.471,130.20,清仓,119.650,-1.0%
128026,众兴转债,112.490,19.10%,1.40,AA-,2.173,131.59,清仓,121.570,-7.5%
123024,岱勒转债,113.200,24.41%,2.66,A+,2.444,137.61,清仓,122.521,-7.6%
