代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113601,塞力转债,111.560,27.73%,1.88,AA-,4.737,139.29,建仓,111.560,0%
128100,搜特转债,107.099,9.81%,2.97,A,4.293,116.91,持仓,105.804,1.2%
128087,孚日转债,112.332,19.22%,1.02,AA-,4.063,131.55,持仓,112.200,0.1%
113033,利群转债,107.070,25.73%,1.11,AA,4.348,132.80,持仓,106.500,0.5%
128066,亚泰转债,112.501,20.42%,1.53,AA-,3.395,132.92,持仓,111.145,1.2%
113505,杭电转债,122.750,11.85%,1.93,AA,2.277,134.60,持仓,127.790,-3.9%
113609,永安转债,121.960,13.23%,1.20,AA-,4.997,135.19,持仓,121.540,0.3%
127042,嘉美转债,125.302,10.35%,2.32,AA,5.707,135.65,持仓,124.889,0.3%
113591,胜达转债,132.740,3.91%,2.52,AA-,4.597,136.65,持仓,133.350,-0.5%
110057,现代转债,117.390,20.09%,1.14,AAA,3.348,137.48,持仓,117.100,0.2%
127028,英特转债,117.167,20.31%,1.72,AA+,5.112,137.48,持仓,117.383,-0.2%
113610,灵康转债,117.820,20.05%,4.14,AA-,5.016,137.87,持仓,116.790,0.9%
128106,华统转债,128.474,9.54%,2.83,AA,4.373,138.01,持仓,128.922,-0.3%
127020,中金转债,122.603,15.61%,1.37,AA+,4.649,138.21,持仓,123.216,-0.5%
110071,湖盐转债,127.410,11.06%,2.56,AA,4.622,138.47,持仓,130.670,-2.5%
128037,岩土转债,111.793,26.95%,1.19,AA,2.304,138.74,持仓,111.496,0.3%
110058,永鼎转债,129.270,10.61%,2.85,AA-,3.389,139.88,持仓,131.840,-1.9%
113026,核能转债,131.450,8.53%,1.63,AAA,3.386,139.98,持仓,129.400,1.6%
113567,君禾转债,126.700,13.66%,3.32,A+,4.271,140.36,持仓,126.930,-0.2%
123063,大禹转债,125.882,14.72%,2.58,AA-,4.671,140.60,持仓,125.350,0.4%
123118,惠城转债,124.640,21.52%,2.47,A+,5.614,146.16,清仓,121.779,2.3%
