代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128091,新天转债,127.031,6.70%,2.54,A+,4.162,133.73,建仓,127.031,0%
128100,搜特转债,100.140,10.36%,2.76,A,4.356,110.50,持仓,100.442,-0.3%
113033,利群转债,103.010,17.03%,1.15,AA,4.411,120.04,持仓,103.080,-0.1%
113591,胜达转债,121.490,4.13%,2.30,AA-,4.660,125.62,持仓,122.380,-0.7%
128081,海亮转债,122.389,4.40%,2.10,AA,4.055,126.79,持仓,118.682,3.1%
127028,英特转债,109.620,18.18%,1.64,AA+,5.175,127.80,持仓,109.869,-0.2%
127042,嘉美转债,127.771,1.67%,2.57,AA,5.770,129.44,持仓,125.650,1.7%
113607,伟20转债,125.960,3.62%,5.27,AA,5.000,129.58,持仓,127.600,-1.3%
113549,白电转债,119.150,10.98%,1.57,AA,4.036,130.13,持仓,120.030,-0.7%
127020,中金转债,117.660,12.79%,1.34,AA+,4.712,130.45,持仓,119.500,-1.5%
128106,华统转债,120.926,10.00%,2.65,AA,4.436,130.93,持仓,121.034,-0.1%
113541,荣晟转债,126.350,4.79%,1.95,AA-,3.721,131.14,持仓,126.660,-0.2%
123063,大禹转债,117.863,13.41%,2.44,AA-,4.734,131.27,持仓,117.823,0.0%
113609,永安转债,112.280,18.99%,1.05,AA-,5.060,131.27,持仓,112.080,0.2%
128066,亚泰转债,105.572,26.12%,1.37,AA-,3.458,131.69,持仓,105.502,0.1%
128037,岩土转债,107.109,24.82%,1.16,AA,2.367,131.93,持仓,107.039,0.1%
123080,海波转债,123.822,8.71%,2.78,A+,5.082,132.53,持仓,122.500,1.1%
110057,现代转债,114.070,19.06%,1.11,AAA,3.411,133.13,持仓,113.850,0.2%
113026,核能转债,128.670,4.58%,1.65,AAA,3.449,133.25,持仓,126.720,1.5%
113610,灵康转债,112.120,21.28%,3.90,AA-,5.079,133.40,持仓,112.500,-0.3%
113505,杭电转债,118.610,17.61%,1.77,AA,2.340,136.22,清仓,117.610,0.9%
