代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128066,亚泰转债,104.073,17.08%,1.38,AA-,3.767,121.15,建仓,104.073,0%
113549,白电转债,109.830,11.72%,1.43,AA,4.345,121.55,建仓,109.830,0%
123080,海波转债,112.996,8.86%,2.62,A+,5.392,121.86,建仓,112.996,0%
128013,洪涛转债,108.180,1.20%,1.12,A-,1.047,109.38,持仓,107.337,0.8%
128087,孚日转债,103.606,7.17%,1.09,AA-,4.436,110.78,持仓,103.180,0.4%
128085,鸿达转债,107.760,4.04%,1.41,B,4.433,111.80,持仓,106.502,1.2%
113033,利群转债,100.880,12.60%,1.11,AA,4.721,113.48,持仓,100.820,0.1%
127034,绿茵转债,105.894,11.95%,1.71,AA-,5.800,117.84,持仓,106.843,-0.9%
110071,湖盐转债,109.050,9.21%,2.19,AA,4.995,118.26,持仓,108.680,0.3%
113610,灵康转债,112.500,6.32%,4.29,AA-,5.389,118.82,持仓,111.830,0.6%
127035,濮耐转债,107.300,11.58%,1.42,AA,4.871,118.88,持仓,106.682,0.6%
128081,海亮转债,114.201,4.69%,2.05,AA,4.364,118.89,持仓,113.504,0.6%
127028,英特转债,108.150,11.82%,1.78,AA+,5.485,119.97,持仓,107.960,0.2%
123082,北陆转债,110.300,10.05%,2.43,A+,5.405,120.35,持仓,109.305,0.9%
128037,岩土转债,107.999,13.11%,1.29,AA,2.677,121.11,持仓,107.685,0.3%
128057,博彦转债,120.939,0.39%,1.75,AA-,3.649,121.33,持仓,118.190,2.3%
127033,中装转2,106.818,14.67%,1.25,AA,5.762,121.49,持仓,106.408,0.4%
111000,起帆转债,110.770,10.77%,2.82,AA-,5.868,121.54,持仓,110.610,0.1%
123097,美力转债,117.110,4.50%,2.43,A+,5.545,121.61,持仓,117.088,0.0%
113609,永安转债,122.150,-0.39%,1.38,AA-,5.370,121.76,持仓,120.930,1.0%
128082,华锋转债,122.000,1.82%,1.90,A,4.397,123.82,清仓,121.080,0.8%
123087,明电转债,112.717,10.02%,3.11,AA-,5.427,122.74,清仓,110.500,2.0%
113039,嘉泽转债,118.000,3.89%,2.44,AA,5.118,121.89,清仓,115.390,2.3%
