代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123080,海波转债,124.137,4.70%,2.92,A+,5.288,128.84,建仓,124.137,0%
128100,搜特转债,101.457,6.73%,1.36,A,4.562,108.19,持仓,101.364,0.1%
113033,利群转债,105.550,15.61%,1.13,AA,4.616,121.16,持仓,104.990,0.5%
128081,海亮转债,119.853,4.63%,2.15,AA,4.260,124.48,持仓,119.998,-0.1%
127020,中金转债,119.661,5.13%,1.50,AA+,4.918,124.79,持仓,120.850,-1.0%
113610,灵康转债,119.330,7.24%,4.51,AA-,5.285,126.57,持仓,119.530,-0.2%
127034,绿茵转债,103.977,22.83%,1.51,AA-,5.696,126.81,持仓,104.178,-0.2%
113609,永安转债,118.080,9.14%,1.23,AA-,5.266,127.22,持仓,120.030,-1.6%
123082,北陆转债,114.220,13.07%,2.45,A+,5.301,127.29,持仓,113.244,0.9%
127028,英特转债,107.543,19.99%,1.65,AA+,5.381,127.53,持仓,108.221,-0.6%
128066,亚泰转债,103.401,24.16%,1.29,AA-,3.663,127.56,持仓,103.193,0.2%
123097,美力转债,122.666,5.21%,2.53,A+,5.441,127.88,持仓,121.746,0.8%
128037,岩土转债,108.130,20.14%,1.22,AA,2.573,128.27,持仓,108.627,-0.5%
113549,白电转债,113.520,14.83%,1.43,AA,4.241,128.35,持仓,114.900,-1.2%
128141,旺能转债,119.204,9.16%,1.50,AA,5.329,128.36,持仓,117.988,1.0%
113591,胜达转债,105.150,23.47%,1.69,AA-,4.866,128.62,持仓,105.230,-0.1%
123063,大禹转债,120.813,7.86%,2.59,AA-,4.940,128.67,持仓,122.319,-1.2%
113014,林洋转债,126.100,2.63%,1.68,AA,2.189,128.73,持仓,124.330,1.4%
123106,正丹转债,121.404,7.50%,2.77,AA-,5.595,128.90,持仓,122.150,-0.6%
123118,惠城转债,115.550,13.75%,2.59,A+,5.882,129.30,持仓,116.576,-0.9%
123068,弘信转债,118.013,12.79%,4.37,AA-,5.156,130.80,清仓,117.214,0.7%
