代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123100,朗科转债,122.601,8.41%,3.45,AA-,5.310,131.01,建仓,122.601,0%
128100,搜特转债,101.360,6.63%,1.95,A,4.395,107.99,持仓,100.580,0.8%
113033,利群转债,103.730,16.16%,1.19,AA,4.449,119.89,持仓,103.700,0.0%
128087,孚日转债,105.930,15.69%,1.01,AA-,4.164,121.62,持仓,105.320,0.6%
127042,嘉美转债,120.519,3.88%,2.51,AA,5.808,124.40,持仓,120.801,-0.2%
113591,胜达转债,121.950,3.12%,2.35,AA-,4.699,125.07,持仓,121.680,0.2%
127027,靖远转债,123.800,1.97%,1.04,AA+,5.142,125.77,持仓,122.635,0.9%
127028,英特转债,109.549,17.06%,1.69,AA+,5.214,126.61,持仓,109.256,0.3%
128066,亚泰转债,105.138,21.52%,1.44,AA-,3.496,126.66,持仓,105.570,-0.4%
128037,岩土转债,108.450,18.38%,1.25,AA,2.405,126.83,持仓,107.900,0.5%
113609,永安转债,113.000,14.25%,1.11,AA-,5.099,127.25,持仓,113.200,-0.2%
113610,灵康转债,114.480,13.56%,4.45,AA-,5.118,128.04,持仓,114.700,-0.2%
113628,晨丰转债,108.440,20.02%,1.80,A,5.847,128.46,持仓,107.990,0.4%
128081,海亮转债,122.871,6.12%,2.13,AA,4.093,128.99,持仓,123.940,-0.9%
113607,伟20转债,128.670,0.48%,6.05,AA,5.038,129.15,持仓,126.470,1.7%
123082,北陆转债,113.699,15.67%,2.33,A+,5.134,129.37,持仓,114.168,-0.4%
123063,大禹转债,118.210,11.95%,2.53,AA-,4.773,130.16,持仓,118.180,0.0%
128106,华统转债,124.803,5.64%,2.68,AA,4.474,130.44,持仓,121.090,3.1%
128143,锋龙转债,120.591,10.05%,4.03,A+,5.222,130.64,持仓,117.572,2.6%
113549,白电转债,127.210,3.81%,1.82,AA,4.074,131.02,持仓,124.090,2.5%
113565,宏辉转债,113.000,18.10%,3.00,AA-,4.356,131.10,清仓,112.360,0.6%
