代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113599,嘉友转债,127.470,12.33%,2.71,AA-,4.641,139.80,建仓,127.470,0%
113536,三星转债,140.030,0.57%,3.07,AA,3.460,140.60,建仓,140.030,0%
128100,搜特转债,106.790,11.61%,2.91,A,4.241,118.40,持仓,106.982,-0.2%
113591,胜达转债,123.760,5.46%,2.31,AA-,4.545,129.22,持仓,123.300,0.4%
128066,亚泰转债,113.000,16.65%,1.59,AA-,3.342,129.65,持仓,113.500,-0.4%
128087,孚日转债,111.157,19.38%,1.01,AA-,4.011,130.54,持仓,111.951,-0.7%
113033,利群转债,108.300,25.07%,1.13,AA,4.296,133.37,持仓,108.310,-0.0%
128037,岩土转债,112.085,21.49%,1.25,AA,2.252,133.57,持仓,112.693,-0.5%
127042,嘉美转债,123.170,11.08%,2.27,AA,5.655,134.25,持仓,123.424,-0.2%
113610,灵康转债,128.050,6.52%,5.07,AA-,4.964,134.57,持仓,127.380,0.5%
128081,海亮转债,129.856,4.86%,2.22,AA,3.940,134.72,持仓,131.902,-1.6%
113609,永安转债,129.600,7.17%,1.35,AA-,4.945,136.77,持仓,130.930,-1.0%
110057,现代转债,116.940,22.05%,1.11,AAA,3.296,138.99,持仓,117.260,-0.3%
127020,中金转债,123.014,16.00%,1.36,AA+,4.597,139.01,持仓,123.810,-0.6%
123129,锦鸡转债,124.610,14.63%,3.46,AA-,5.890,139.24,持仓,124.131,0.4%
128075,远东转债,128.286,11.25%,1.12,AA,3.778,139.54,持仓,128.170,0.1%
123063,大禹转债,125.941,13.70%,2.60,AA-,4.619,139.64,持仓,127.400,-1.1%
123080,海波转债,129.900,9.80%,2.88,A+,4.967,139.70,持仓,129.873,0.0%
113567,君禾转债,134.440,5.29%,4.69,A+,4.219,139.73,持仓,135.620,-0.9%
128044,岭南转债,118.289,21.85%,1.16,AA-,2.668,140.14,持仓,117.807,0.4%
113601,塞力转债,109.650,31.59%,1.79,AA-,4.685,141.24,清仓,109.980,-0.3%
127028,英特转债,129.297,12.87%,2.03,AA+,5.060,142.17,清仓,114.800,12.6%
