代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113599,嘉友转债,125.960,13.51%,2.65,AA-,4.655,139.47,建仓,125.960,0%
110071,湖盐转债,125.060,14.84%,2.43,AA,4.584,139.90,建仓,125.060,0%
128143,锋龙转债,129.250,11.10%,4.23,A+,5.082,140.35,建仓,129.250,0%
128100,搜特转债,105.668,10.44%,2.91,A,4.255,116.11,持仓,105.460,0.2%
113591,胜达转债,121.610,4.44%,2.29,AA-,4.559,126.05,持仓,120.740,0.7%
128066,亚泰转债,113.456,16.21%,1.60,AA-,3.356,129.67,持仓,111.100,2.1%
128087,孚日转债,111.604,19.86%,1.01,AA-,4.025,131.46,持仓,110.701,0.8%
113033,利群转债,107.680,25.60%,1.12,AA,4.310,133.28,持仓,107.130,0.5%
127042,嘉美转债,122.655,11.44%,2.25,AA,5.668,134.09,持仓,120.551,1.7%
128037,岩土转债,110.498,23.67%,1.21,AA,2.266,134.17,持仓,109.189,1.2%
113609,永安转债,126.130,9.12%,1.29,AA-,4.959,135.25,持仓,125.630,0.4%
127028,英特转债,114.500,20.81%,1.68,AA+,5.074,135.31,持仓,113.287,1.1%
110057,现代转债,116.860,19.43%,1.14,AAA,3.310,136.29,持仓,116.200,0.6%
128075,远东转债,126.460,10.21%,1.11,AA,3.792,136.67,持仓,125.650,0.6%
128081,海亮转债,133.185,3.91%,2.30,AA,3.953,137.09,持仓,134.699,-1.1%
123063,大禹转债,125.666,11.78%,2.64,AA-,4.633,137.45,持仓,125.392,0.2%
113610,灵康转债,127.730,10.08%,4.90,AA-,4.978,137.81,持仓,123.990,3.0%
127020,中金转债,124.392,13.60%,1.41,AA+,4.611,137.99,持仓,124.338,0.0%
123080,海波转债,128.646,9.54%,2.86,A+,4.981,138.19,持仓,129.466,-0.6%
113567,君禾转债,133.480,5.86%,4.63,A+,4.233,139.34,持仓,128.800,3.6%
113601,塞力转债,110.770,30.61%,1.83,AA-,4.699,141.38,清仓,111.090,-0.3%
113549,白电转债,127.890,13.05%,1.66,AA,3.934,140.94,清仓,125.190,2.2%
113505,杭电转债,119.760,21.13%,1.74,AA,2.238,140.89,清仓,117.950,1.5%
