代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123080,海波转债,130.312,10.72%,2.87,A+,5.016,141.03,建仓,130.312,0%
110068,龙净转债,108.590,32.44%,1.38,AA+,4.323,141.03,建仓,108.590,0%
128100,搜特转债,107.180,10.60%,2.95,A,4.290,117.78,持仓,107.099,0.1%
128087,孚日转债,111.720,18.57%,1.02,AA-,4.060,130.29,持仓,112.332,-0.5%
128066,亚泰转债,112.760,20.56%,1.53,AA-,3.392,133.32,持仓,112.501,0.2%
113033,利群转债,107.340,26.25%,1.11,AA,4.345,133.59,持仓,107.070,0.3%
113591,胜达转债,132.760,3.74%,2.52,AA-,4.595,136.50,持仓,132.740,0.0%
113609,永安转债,125.030,11.55%,1.25,AA-,4.995,136.58,持仓,121.960,2.5%
113505,杭电转债,123.830,12.83%,1.93,AA,2.274,136.66,持仓,122.750,0.9%
128037,岩土转债,110.595,26.51%,1.19,AA,2.301,137.10,持仓,111.793,-1.1%
127028,英特转债,116.799,20.95%,1.71,AA+,5.110,137.75,持仓,117.167,-0.3%
110057,现代转债,117.480,20.69%,1.13,AAA,3.345,138.17,持仓,117.390,0.1%
127042,嘉美转债,124.772,13.79%,2.25,AA,5.704,138.56,持仓,125.302,-0.4%
113610,灵康转债,118.680,20.93%,4.14,AA-,5.014,139.61,持仓,117.820,0.7%
128106,华统转债,129.014,10.80%,2.81,AA,4.370,139.81,持仓,128.474,0.4%
113026,核能转债,129.550,10.79%,1.57,AAA,3.384,140.34,持仓,131.450,-1.4%
113601,塞力转债,111.560,28.78%,1.86,AA-,4.734,140.34,持仓,111.560,0.0%
123063,大禹转债,126.436,14.36%,2.60,AA-,4.668,140.80,持仓,125.882,0.4%
110058,永鼎转债,128.920,12.03%,2.81,AA-,3.386,140.95,持仓,129.270,-0.3%
127020,中金转债,125.000,16.21%,1.38,AA+,4.647,141.21,持仓,122.603,2.0%
110071,湖盐转债,126.900,14.44%,2.47,AA,4.619,141.34,清仓,130.670,-2.9%
113567,君禾转债,128.920,12.93%,3.40,A+,4.268,141.85,清仓,126.930,1.6%
