代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128143,锋龙转债,117.347,9.84%,3.93,A+,5.296,127.19,建仓,117.347,0%
123080,海波转债,115.808,12.13%,2.54,A+,5.195,127.94,建仓,115.808,0%
123063,大禹转债,119.924,8.07%,2.66,AA-,4.847,127.99,建仓,119.924,0%
128100,搜特转债,104.660,5.31%,2.04,A,4.468,109.97,持仓,105.850,-1.1%
113033,利群转债,102.760,14.34%,1.20,AA,4.523,117.10,持仓,103.140,-0.4%
128087,孚日转债,104.295,13.36%,1.02,AA-,4.238,117.66,持仓,104.190,0.1%
127042,嘉美转债,119.760,2.68%,2.52,AA,5.882,122.44,持仓,118.698,0.9%
113628,晨丰转债,108.430,14.67%,1.89,A,5.921,123.10,持仓,110.350,-1.7%
127018,本钢转债,123.320,0.17%,1.03,AAA,4.767,123.49,持仓,126.000,-2.1%
128066,亚泰转债,103.842,19.73%,1.44,AA-,3.570,123.57,持仓,104.037,-0.2%
128037,岩土转债,110.892,12.71%,1.34,AA,2.479,123.60,持仓,111.138,-0.2%
127028,英特转债,106.472,17.82%,1.63,AA+,5.288,124.29,持仓,106.603,-0.1%
123082,北陆转债,116.597,8.82%,2.54,A+,5.208,125.42,持仓,117.778,-1.0%
113591,胜达转债,114.190,12.14%,2.02,AA-,4.773,126.33,持仓,113.950,0.2%
127034,绿茵转债,103.406,23.21%,1.50,AA-,5.603,126.62,持仓,103.840,-0.4%
127020,中金转债,127.112,0.26%,1.67,AA+,4.825,127.37,持仓,128.300,-0.9%
113609,永安转债,113.290,14.12%,1.12,AA-,5.173,127.41,持仓,112.830,0.4%
127027,靖远转债,123.500,4.15%,1.04,AA+,5.216,127.65,持仓,118.529,4.2%
123097,美力转债,118.118,9.84%,2.25,A+,5.348,127.96,持仓,117.553,0.5%
113610,灵康转债,113.900,14.30%,4.35,AA-,5.192,128.20,持仓,113.720,0.2%
110063,鹰19转债,120.210,9.46%,1.01,AA+,4.225,129.67,清仓,119.880,0.3%
123112,万讯转债,123.185,7.01%,2.66,AA-,5.542,130.19,清仓,122.205,0.8%
113505,杭电转债,117.650,12.56%,1.80,AA,2.452,130.21,清仓,111.840,5.2%
