代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128121,宏川转债,130.194,16.60%,4.38,AA-,4.468,146.79,建仓,130.194,0%
128040,华通转债,127.942,19.15%,1.63,AA,2.378,147.09,建仓,127.942,0%
110083,苏租转债,119.020,29.27%,1.09,AAA,5.789,148.29,建仓,119.020,0%
123097,美力转债,128.994,19.47%,2.23,A+,5.000,148.46,建仓,128.994,0%
128100,搜特转债,108.330,16.22%,2.84,A,4.121,124.55,持仓,108.267,0.1%
113591,胜达转债,127.230,6.66%,2.37,AA-,4.425,133.89,持仓,128.120,-0.7%
127040,国泰转债,134.802,3.93%,1.86,AA+,5.441,138.73,持仓,136.300,-1.1%
127042,嘉美转债,125.796,13.45%,2.27,AA,5.534,139.25,持仓,125.229,0.5%
113033,利群转债,115.300,24.73%,1.21,AA,4.175,140.03,持仓,115.090,0.2%
113567,君禾转债,129.550,12.35%,4.23,A+,4.099,141.90,持仓,129.380,0.1%
113609,永安转债,118.590,24.81%,1.06,AA-,4.825,143.40,持仓,118.690,-0.1%
128087,孚日转债,123.736,19.75%,1.12,AA-,3.890,143.49,持仓,123.352,0.3%
128066,亚泰转债,114.603,29.55%,1.45,AA-,3.222,144.15,持仓,114.910,-0.3%
128081,海亮转债,131.892,12.31%,2.11,AA,3.819,144.20,持仓,132.677,-0.6%
113017,吉视转债,128.310,16.78%,1.09,AA+,1.915,145.09,持仓,129.400,-0.8%
113610,灵康转债,119.720,25.86%,4.01,AA-,4.844,145.58,持仓,120.200,-0.4%
123080,海波转债,126.285,19.87%,2.57,A+,4.847,146.16,持仓,126.158,0.1%
110084,贵燃转债,117.220,29.73%,3.70,AA,5.918,146.95,持仓,116.390,0.7%
128075,远东转债,127.289,20.03%,1.03,AA,3.658,147.32,持仓,126.412,0.7%
123127,耐普转债,130.148,18.61%,3.02,A+,5.753,148.76,持仓,130.578,-0.3%
128044,岭南转债,128.880,20.78%,1.27,AA-,2.548,149.66,清仓,132.975,-3.1%
110057,现代转债,118.530,30.83%,1.05,AAA,3.175,149.36,清仓,117.690,0.7%
113026,核能转债,126.240,0.05%,1.70,AAA,3.214,126.29,清仓,128.490,-1.8%
113549,白电转债,134.900,14.33%,1.73,AA,3.800,149.23,清仓,135.720,-0.6%
