代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128044,岭南转债,132.530,1.01%,1.56,AA-,2.488,133.54,建仓,132.530,0%
110079,杭银转债,126.130,9.75%,1.01,AAA,5.110,135.88,建仓,126.130,0%
127040,国泰转债,133.010,3.52%,1.85,AA+,5.381,136.53,建仓,133.010,0%
113609,永安转债,116.580,21.83%,1.06,AA-,4.764,138.41,建仓,116.580,0%
128100,搜特转债,100.793,14.19%,2.69,A,4.060,114.98,持仓,100.749,0.0%
113591,胜达转债,123.690,7.06%,2.29,AA-,4.364,130.75,持仓,124.370,-0.5%
113033,利群转债,113.780,18.51%,1.26,AA,4.115,132.29,持仓,113.210,0.5%
127042,嘉美转债,129.700,3.54%,2.56,AA,5.474,133.24,持仓,129.815,-0.1%
128087,孚日转债,121.549,13.01%,1.17,AA-,3.830,134.56,持仓,121.928,-0.3%
113567,君禾转债,127.210,7.50%,4.34,A+,4.038,134.71,持仓,127.630,-0.3%
128066,亚泰转债,118.376,16.62%,1.67,AA-,3.162,135.00,持仓,118.142,0.2%
128037,岩土转债,120.880,14.24%,1.44,AA,2.071,135.12,持仓,123.104,-1.8%
128107,交科转债,135.908,-0.67%,1.08,AA+,4.175,135.24,持仓,134.272,1.2%
128081,海亮转债,130.450,4.81%,2.23,AA,3.759,135.26,持仓,128.686,1.4%
127034,绿茵转债,111.294,25.26%,1.57,AA-,5.195,136.55,持仓,111.955,-0.6%
113017,吉视转债,125.100,12.49%,1.10,AA+,1.855,137.59,持仓,125.780,-0.5%
123080,海波转债,131.950,6.18%,3.03,A+,4.786,138.13,持仓,131.821,0.1%
128075,远东转债,125.066,13.28%,1.07,AA,3.597,138.35,持仓,125.236,-0.1%
128120,联诚转债,122.414,16.35%,2.32,A,4.408,138.76,持仓,122.774,-0.3%
127014,北方转债,121.083,17.82%,1.13,AA+,3.679,138.90,持仓,120.101,0.8%
127028,英特转债,118.578,21.33%,1.75,AA+,4.879,139.91,清仓,118.200,0.3%
110064,建工转债,128.070,2.14%,0.99,AA+,3.836,130.21,清仓,129.490,-1.1%
113610,灵康转债,116.650,22.78%,4.01,AA-,4.784,139.43,清仓,116.920,-0.2%
123097,美力转债,125.790,13.45%,2.29,A+,4.940,139.24,清仓,125.118,0.5%
