代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128075,远东转债,131.800,12.09%,1.14,AA,3.699,143.89,建仓,131.800,0%
128100,搜特转债,112.815,8.79%,3.16,A,4.162,121.60,持仓,112.257,0.5%
113026,核能转债,128.850,0.45%,1.73,AAA,3.255,129.30,持仓,129.820,-0.7%
127042,嘉美转债,125.498,9.34%,2.35,AA,5.575,134.84,持仓,125.861,-0.3%
113017,吉视转债,123.420,13.26%,1.08,AA+,1.956,136.68,持仓,125.930,-2.0%
128081,海亮转债,133.255,6.10%,2.25,AA,3.860,139.35,持仓,133.039,0.2%
110057,现代转债,123.810,16.55%,1.23,AAA,3.216,140.36,持仓,125.000,-1.0%
113610,灵康转债,128.230,12.31%,4.82,AA-,4.885,140.54,持仓,129.140,-0.7%
128066,亚泰转债,119.130,21.62%,1.61,AA-,3.263,140.75,持仓,119.469,-0.3%
113609,永安转债,131.540,9.60%,1.34,AA-,4.866,141.14,持仓,132.420,-0.7%
127028,英特转债,128.601,12.66%,2.05,AA+,4.981,141.26,持仓,130.200,-1.2%
113033,利群转债,113.760,27.79%,1.17,AA,4.216,141.55,持仓,114.150,-0.3%
113567,君禾转债,133.620,8.25%,4.53,A+,4.140,141.87,持仓,130.360,2.5%
128044,岭南转债,125.033,17.17%,1.27,AA-,2.589,142.20,持仓,125.868,-0.7%
123097,美力转债,133.350,9.03%,2.52,A+,5.041,142.38,持仓,132.946,0.3%
128037,岩土转债,119.200,23.18%,1.32,AA,2.173,142.38,持仓,120.062,-0.7%
128121,宏川转债,130.830,11.69%,4.58,AA-,4.510,142.52,持仓,132.495,-1.3%
128087,孚日转债,126.377,16.29%,1.18,AA-,3.932,142.67,持仓,126.229,0.1%
123080,海波转债,130.897,12.12%,2.85,A+,4.888,143.02,持仓,130.722,0.1%
127020,中金转债,126.975,17.11%,1.40,AA+,4.518,144.08,持仓,127.268,-0.2%
113601,塞力转债,125.270,18.96%,2.27,AA-,4.605,144.23,清仓,125.200,0.1%
