代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128085,鸿达转债,136.700,2.79%,1.55,B,4.096,139.49,建仓,136.700,0%
113601,塞力转债,109.800,29.93%,1.82,AA-,4.773,139.73,建仓,109.800,0%
128100,搜特转债,103.757,11.32%,2.84,A,4.329,115.08,持仓,102.986,0.7%
113033,利群转债,105.050,23.36%,1.11,AA,4.384,128.41,持仓,104.300,0.7%
128087,孚日转债,109.710,19.25%,1.00,AA-,4.099,128.96,持仓,109.647,0.1%
128066,亚泰转债,107.851,23.43%,1.43,AA-,3.430,131.28,持仓,107.513,0.3%
113591,胜达转债,127.360,4.56%,2.40,AA-,4.633,131.92,持仓,125.410,1.6%
127042,嘉美转债,126.363,7.59%,2.40,AA,5.742,133.95,持仓,125.620,0.6%
127028,英特转债,113.826,20.20%,1.68,AA+,5.148,134.03,持仓,113.893,-0.1%
113609,永安转债,118.190,15.94%,1.14,AA-,5.033,134.13,持仓,117.910,0.2%
113607,伟20转债,134.120,1.67%,5.72,AA,4.973,135.79,持仓,132.680,1.1%
110057,现代转债,114.990,20.91%,1.10,AAA,3.384,135.90,持仓,114.370,0.5%
128037,岩土转债,111.191,25.80%,1.20,AA,2.340,136.99,持仓,110.430,0.7%
113505,杭电转债,128.700,8.34%,2.08,AA,2.312,137.04,持仓,124.630,3.3%
127020,中金转债,120.477,16.70%,1.33,AA+,4.685,137.18,持仓,119.856,0.5%
123080,海波转债,127.048,10.53%,2.80,A+,5.055,137.58,持仓,126.099,0.8%
123063,大禹转债,123.703,14.24%,2.54,AA-,4.707,137.94,持仓,123.111,0.5%
128106,华统转债,125.174,13.43%,2.66,AA,4.408,138.60,持仓,124.500,0.5%
113610,灵康转债,115.830,22.97%,3.98,AA-,5.052,138.80,持仓,115.370,0.4%
128081,海亮转债,134.008,4.81%,2.29,AA,4.027,138.82,持仓,133.000,0.8%
128121,宏川转债,132.590,8.71%,4.77,AA-,4.677,141.30,清仓,123.832,7.1%
128145,日丰转债,133.252,6.51%,3.34,AA-,5.356,139.76,清仓,128.870,3.4%
