代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113609,永安转债,116.960,0.13%,1.31,AA-,5.427,117.09,建仓,116.960,0%
123085,万顺转2,100.200,16.99%,1.01,AA-,5.474,117.19,建仓,100.200,0%
113549,白电转债,102.550,15.12%,1.30,AA,4.403,117.67,建仓,102.550,0%
128085,鸿达转债,105.381,1.99%,1.41,B,4.490,107.37,持仓,103.877,1.4%
128087,孚日转债,102.214,8.23%,1.06,AA,4.493,110.44,持仓,101.038,1.2%
128013,洪涛转债,106.955,3.82%,1.07,AA-,1.104,110.77,持仓,106.282,0.6%
113033,利群转债,99.180,12.32%,1.09,AA,4.778,111.50,持仓,99.150,0.0%
128081,海亮转债,108.127,3.87%,1.97,AA,4.422,112.00,持仓,108.200,-0.1%
127033,中装转2,99.992,13.76%,1.18,AA,5.819,113.75,持仓,100.030,-0.0%
111000,起帆转债,104.870,9.18%,2.71,AA-,5.926,114.05,持仓,104.320,0.5%
110071,湖盐转债,106.290,7.78%,2.13,AA,5.052,114.07,持仓,106.780,-0.5%
113610,灵康转债,105.500,9.30%,3.91,AA-,5.447,114.80,持仓,103.390,2.0%
127035,濮耐转债,104.978,9.94%,1.41,AA,4.929,114.92,持仓,106.021,-1.0%
123086,海兰转债,111.135,4.23%,2.87,AA-,5.474,115.37,持仓,108.495,2.4%
113505,杭电转债,105.950,10.15%,1.66,AA,2.707,116.10,持仓,105.560,0.4%
127028,英特转债,108.152,7.99%,1.84,AA+,5.542,116.14,持仓,107.277,0.8%
123087,明电转债,105.500,10.73%,2.89,AA-,5.485,116.23,持仓,105.000,0.5%
123097,美力转债,111.314,5.01%,2.31,A+,5.603,116.32,持仓,110.060,1.1%
123080,海波转债,106.988,9.93%,2.45,A+,5.449,116.92,持仓,106.623,0.3%
123063,大禹转债,109.370,8.47%,2.33,AA-,5.101,117.84,持仓,108.693,0.6%
113039,嘉泽转债,124.850,0.46%,2.45,AA,5.175,125.31,清仓,111.030,12.4%
123106,正丹转债,106.558,12.55%,2.36,AA-,5.756,119.11,清仓,105.400,1.1%
123092,天壕转债,110.310,8.02%,1.36,A+,5.510,118.33,清仓,109.050,1.2%
