代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113628,晨丰转债,110.350,15.20%,1.91,A,5.934,125.55,建仓,110.350,0%
113610,灵康转债,113.720,13.58%,4.38,AA-,5.205,127.30,建仓,113.720,0%
110063,鹰19转债,119.880,8.25%,1.02,AA+,4.238,128.13,建仓,119.880,0%
127020,中金转债,128.300,-0.16%,1.69,AA+,4.838,128.14,建仓,128.300,0%
123112,万讯转债,122.205,5.95%,2.66,AA-,5.556,128.16,建仓,122.205,0%
128100,搜特转债,105.850,5.20%,2.06,A,4.482,111.05,持仓,109.399,-3.2%
128087,孚日转债,104.190,12.71%,1.02,AA-,4.252,116.90,持仓,105.300,-1.1%
113033,利群转债,103.140,14.77%,1.20,AA,4.537,117.91,持仓,103.250,-0.1%
127027,靖远转债,118.529,2.92%,1.01,AA+,5.230,121.45,持仓,121.553,-2.5%
127042,嘉美转债,118.698,3.59%,2.48,AA,5.896,122.29,持仓,119.000,-0.3%
128066,亚泰转债,104.037,18.33%,1.46,AA-,3.584,122.37,持仓,104.260,-0.2%
128037,岩土转债,111.138,12.96%,1.34,AA,2.493,124.10,持仓,113.262,-1.9%
127028,英特转债,106.603,17.57%,1.64,AA+,5.301,124.17,持仓,108.000,-1.3%
113591,胜达转债,113.950,10.42%,2.05,AA-,4.786,124.37,持仓,113.620,0.3%
113609,永安转债,112.830,12.90%,1.12,AA-,5.186,125.73,持仓,114.520,-1.5%
127034,绿茵转债,103.840,21.96%,1.52,AA-,5.616,125.80,持仓,104.795,-0.9%
123097,美力转债,117.553,8.88%,2.25,A+,5.362,126.43,持仓,118.500,-0.8%
127018,本钢转债,126.000,0.56%,1.05,AAA,4.781,126.56,持仓,129.554,-2.7%
123082,北陆转债,117.778,9.10%,2.56,A+,5.222,126.88,持仓,117.783,-0.0%
113505,杭电转债,115.320,11.99%,1.77,AA,2.466,127.31,持仓,111.840,3.1%
128143,锋龙转债,121.065,10.48%,4.03,A+,5.310,131.54,清仓,119.500,1.3%
113024,核建转债,120.140,18.55%,1.49,AAA,3.556,138.69,清仓,115.310,4.2%
123063,大禹转债,120.727,7.98%,2.67,AA-,4.860,128.71,清仓,123.120,-1.9%
113607,伟20转债,126.570,1.81%,5.87,AA,5.126,128.38,清仓,128.250,-1.3%
128106,华统转债,121.151,8.63%,2.53,AA,4.562,129.78,清仓,115.108,5.2%
