代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
113549,白电转债,114.960,11.92%,1.49,AA,4.279,126.88,建仓,114.960,0%
113039,嘉泽转债,121.720,5.82%,2.47,AA,5.052,127.54,建仓,121.720,0%
128141,旺能转债,114.444,14.16%,1.38,AA,5.367,128.60,建仓,114.444,0%
128087,孚日转债,101.902,14.36%,1.00,AA-,4.370,116.26,持仓,102.493,-0.6%
113033,利群转债,103.960,14.41%,1.12,AA,4.655,118.37,持仓,103.710,0.2%
127028,英特转债,109.339,13.40%,1.78,AA+,5.419,122.74,持仓,109.147,0.2%
128085,鸿达转债,123.410,-0.51%,1.69,B,4.367,122.90,持仓,121.732,1.4%
127034,绿茵转债,104.902,18.92%,1.59,AA-,5.734,123.82,持仓,105.004,-0.1%
123063,大禹转债,117.820,6.97%,2.54,AA-,4.978,124.79,持仓,116.903,0.8%
113609,永安转债,111.990,13.36%,1.12,AA-,5.304,125.35,持仓,113.760,-1.6%
113610,灵康转债,121.780,3.81%,4.76,AA-,5.323,125.59,持仓,118.100,3.1%
128081,海亮转债,121.687,4.90%,2.18,AA,4.299,126.59,持仓,123.090,-1.1%
128066,亚泰转债,102.017,24.76%,1.27,AA-,3.701,126.78,持仓,102.151,-0.1%
110057,现代转债,112.870,14.28%,1.19,AAA,3.655,127.15,持仓,111.870,0.9%
123097,美力转债,123.758,3.65%,2.59,A+,5.479,127.41,持仓,124.299,-0.4%
127020,中金转债,117.455,10.08%,1.40,AA+,4.956,127.53,持仓,117.878,-0.4%
123082,北陆转债,113.524,14.04%,2.41,A+,5.340,127.56,持仓,113.536,-0.0%
128037,岩土转债,107.391,20.62%,1.21,AA,2.611,128.01,持仓,107.397,-0.0%
113591,胜达转债,104.140,25.30%,1.65,AA-,4.904,129.44,持仓,104.420,-0.3%
128090,汽模转2,111.171,18.46%,1.79,AA-,4.397,129.63,持仓,110.877,0.3%
113570,百达转债,113.440,17.15%,2.17,A+,4.597,130.59,清仓,112.750,0.6%
127035,濮耐转债,119.400,15.49%,1.52,AA,4.805,134.89,清仓,113.950,4.8%
110071,湖盐转债,123.830,6.66%,2.55,AA,4.929,130.49,清仓,120.680,2.6%
