代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128143,锋龙转债,117.398,0.30%,4.30,A+,5.545,117.70,建仓,117.398,0%
123069,金诺转债,115.300,3.46%,2.68,AA-,5.315,118.76,建仓,115.300,0%
113549,白电转债,103.790,15.07%,1.31,AA,4.397,118.86,建仓,103.790,0%
128087,孚日转债,102.638,5.93%,1.09,AA-,4.488,108.57,持仓,101.889,0.7%
128085,鸿达转债,107.412,2.93%,1.42,B,4.485,110.34,持仓,106.750,0.6%
128013,洪涛转债,107.251,3.67%,1.07,AA-,1.099,110.92,持仓,107.680,-0.4%
113033,利群转债,99.770,12.62%,1.10,AA,4.773,112.39,持仓,99.400,0.4%
128081,海亮转债,110.063,3.95%,1.99,AA,4.416,114.01,持仓,109.395,0.6%
127033,中装转2,100.470,13.68%,1.19,AA,5.814,114.15,持仓,100.261,0.2%
110071,湖盐转债,107.520,7.52%,2.16,AA,5.047,115.04,持仓,107.410,0.1%
127035,濮耐转债,106.075,9.80%,1.42,AA,4.923,115.88,持仓,105.930,0.1%
123087,明电转债,109.969,6.57%,3.13,AA-,5.479,116.54,持仓,105.901,3.8%
123063,大禹转债,114.460,2.38%,2.58,AA-,5.096,116.84,持仓,117.500,-2.6%
113609,永安转债,116.260,1.21%,1.29,AA-,5.422,117.47,持仓,116.520,-0.2%
127028,英特转债,108.850,8.93%,1.84,AA+,5.537,117.78,持仓,108.730,0.1%
111000,起帆转债,107.370,10.44%,2.74,AA-,5.921,117.81,持仓,106.510,0.8%
113610,灵康转债,106.250,12.11%,3.84,AA-,5.441,118.36,持仓,105.520,0.7%
113505,杭电转债,106.530,11.90%,1.64,AA,2.701,118.43,持仓,106.580,-0.0%
123086,海兰转债,112.801,5.71%,2.88,AA-,5.468,118.51,持仓,113.399,-0.5%
123097,美力转债,113.650,5.20%,2.36,A+,5.597,118.85,持仓,112.750,0.8%
123106,正丹转债,109.565,9.42%,2.49,AA-,5.751,118.98,清仓,110.288,-0.7%
127034,绿茵转债,102.132,18.17%,1.55,AA-,5.852,120.30,清仓,101.350,0.8%
123080,海波转债,109.260,9.83%,2.51,A+,5.444,119.09,清仓,106.988,2.1%
