代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
127040,国泰转债,136.816,4.23%,1.89,AA+,5.447,141.05,建仓,136.816,0%
113570,百达转债,124.230,22.08%,2.35,A+,4.123,146.31,建仓,124.230,0%
127028,英特转债,122.938,23.49%,1.78,AA+,4.945,146.43,建仓,122.938,0%
128100,搜特转债,107.940,15.80%,2.84,A,4.126,123.74,持仓,110.481,-2.3%
113026,核能转债,128.490,-0.10%,1.73,AAA,3.219,128.39,持仓,128.700,-0.2%
113591,胜达转债,127.170,4.90%,2.41,AA-,4.430,132.07,持仓,129.960,-2.1%
113017,吉视转债,134.600,2.80%,1.30,AA+,1.921,137.40,持仓,141.460,-4.8%
127042,嘉美转债,124.950,12.69%,2.27,AA,5.540,137.64,持仓,128.326,-2.6%
113609,永安转债,119.070,19.14%,1.11,AA-,4.830,138.21,持仓,125.140,-4.9%
113567,君禾转债,129.940,9.80%,4.34,A+,4.104,139.74,持仓,133.640,-2.8%
113033,利群转债,115.280,24.52%,1.21,AA,4.181,139.80,持仓,115.540,-0.2%
128066,亚泰转债,114.921,25.47%,1.50,AA-,3.227,140.39,持仓,116.949,-1.7%
128081,海亮转债,132.791,8.86%,2.19,AA,3.825,141.65,持仓,133.937,-0.9%
128087,孚日转债,125.596,17.02%,1.17,AA-,3.896,142.62,持仓,125.438,0.1%
113549,白电转债,135.720,7.58%,1.85,AA,3.805,143.30,持仓,136.270,-0.4%
128075,远东转债,126.329,17.45%,1.05,AA,3.663,143.78,持仓,128.617,-1.8%
123080,海波转债,126.092,17.94%,2.61,A+,4.852,144.03,持仓,128.274,-1.7%
128040,华通转债,128.132,16.41%,1.67,AA,2.384,144.54,持仓,130.000,-1.4%
113610,灵康转债,121.180,23.62%,4.14,AA-,4.849,144.80,持仓,123.400,-1.8%
113601,塞力转债,124.080,21.99%,2.19,AA-,4.570,146.07,持仓,125.400,-1.1%
123111,东财转3,137.999,-0.30%,8.17,AA+,5.197,137.70,清仓,142.368,-3.1%
110057,现代转债,119.200,29.38%,1.07,AAA,3.181,148.58,清仓,120.250,-0.9%
123097,美力转债,130.108,18.26%,2.27,A+,5.005,148.37,清仓,133.371,-2.4%
