代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128037,岩土转债,115.472,28.76%,1.22,AA,2.101,144.23,建仓,115.472,0%
128100,搜特转债,101.700,18.53%,2.63,A,4.090,120.23,持仓,107.471,-5.4%
113591,胜达转债,125.540,7.19%,2.33,AA-,4.395,132.73,持仓,124.700,0.7%
113033,利群转债,115.730,22.00%,1.24,AA,4.145,137.73,持仓,115.500,0.2%
127042,嘉美转债,130.810,7.42%,2.50,AA,5.504,138.23,持仓,124.850,4.8%
127040,国泰转债,135.500,5.73%,1.84,AA+,5.411,141.23,持仓,131.900,2.7%
113567,君禾转债,133.350,8.86%,4.50,A+,4.068,142.21,持仓,130.630,2.1%
128066,亚泰转债,115.100,27.48%,1.48,AA-,3.192,142.58,持仓,114.131,0.8%
128087,孚日转债,124.569,18.27%,1.14,AA-,3.860,142.84,持仓,122.013,2.1%
128081,海亮转债,132.197,10.90%,2.14,AA,3.789,143.10,持仓,130.382,1.4%
113017,吉视转债,124.040,19.22%,1.03,AA+,1.885,143.26,持仓,125.970,-1.5%
128075,远东转债,126.248,17.37%,1.05,AA,3.627,143.62,持仓,125.733,0.4%
113610,灵康转债,119.600,24.22%,4.06,AA-,4.814,143.82,持仓,117.540,1.8%
128044,岭南转债,124.171,20.31%,1.23,AA-,2.518,144.48,持仓,123.870,0.2%
113609,永安转债,119.760,25.08%,1.07,AA-,4.795,144.84,持仓,118.310,1.2%
113570,百达转债,130.220,15.73%,2.60,A+,4.088,145.95,持仓,126.790,2.7%
123097,美力转债,128.618,18.06%,2.25,A+,4.970,146.68,持仓,126.881,1.4%
128040,华通转债,130.710,16.02%,1.71,AA,2.348,146.73,持仓,128.348,1.8%
128120,联诚转债,122.228,24.60%,2.17,A,4.438,146.83,持仓,120.577,1.4%
110084,贵燃转债,117.510,30.18%,3.70,AA,5.888,147.69,持仓,116.930,0.5%
128121,宏川转债,129.201,18.53%,4.26,AA-,4.438,147.73,清仓,130.194,-0.8%
