代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128087,孚日转债,105.508,17.23%,1.00,AA-,4.148,122.74,建仓,105.508,0%
123063,大禹转债,117.489,14.65%,2.45,AA-,4.756,132.14,建仓,117.489,0%
123080,海波转债,117.180,15.10%,2.50,A+,5.104,132.28,建仓,117.180,0%
128145,日丰转债,123.912,8.43%,3.19,AA-,5.405,132.34,建仓,123.912,0%
128100,搜特转债,102.242,8.26%,1.94,A,4.378,110.50,持仓,102.189,0.1%
113033,利群转债,103.650,20.30%,1.15,AA,4.433,123.95,持仓,103.870,-0.2%
127042,嘉美转债,124.356,0.10%,2.68,AA,5.792,124.46,持仓,123.400,0.8%
128106,华统转债,122.197,5.92%,2.62,AA,4.458,128.12,持仓,121.815,0.3%
113610,灵康转债,113.120,15.12%,4.34,AA-,5.101,128.24,持仓,113.360,-0.2%
113609,永安转债,112.800,15.97%,1.09,AA-,5.082,128.77,持仓,112.630,0.2%
127020,中金转债,122.258,7.21%,1.54,AA+,4.734,129.47,持仓,122.428,-0.1%
127028,英特转债,108.649,20.92%,1.62,AA+,5.197,129.57,持仓,109.460,-0.7%
128081,海亮转债,118.332,11.32%,1.96,AA,4.077,129.65,持仓,119.893,-1.3%
113607,伟20转债,129.840,0.50%,6.10,AA,5.022,130.34,持仓,128.080,1.4%
128066,亚泰转债,105.638,25.06%,1.40,AA-,3.479,130.70,持仓,105.722,-0.1%
128037,岩土转债,107.976,23.06%,1.19,AA,2.389,131.04,持仓,107.995,-0.0%
123100,朗科转债,123.580,8.12%,3.49,AA-,5.293,131.70,持仓,121.732,1.5%
110077,洪城转债,128.280,3.46%,1.46,AA+,5.071,131.74,持仓,127.540,0.6%
113505,杭电转债,118.660,13.53%,1.80,AA,2.362,132.19,持仓,113.180,4.8%
123082,北陆转债,113.139,19.23%,2.25,A+,5.118,132.37,持仓,113.566,-0.4%
113591,胜达转债,137.990,-0.51%,2.75,AA-,4.682,137.48,清仓,129.320,6.7%
128143,锋龙转债,118.930,16.55%,3.75,A+,5.205,135.48,清仓,117.180,1.5%
113628,晨丰转债,108.210,25.84%,1.72,A,5.830,134.05,清仓,108.370,-0.1%
113549,白电转债,125.470,7.05%,1.74,AA,4.058,132.52,清仓,124.290,0.9%
