代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128087,孚日转债,102.970,14.41%,1.00,AA-,4.340,117.38,建仓,102.970,0%
123068,弘信转债,115.755,12.38%,4.30,AA-,5.164,128.13,建仓,115.755,0%
110057,现代转债,114.100,16.73%,1.18,AAA,3.625,130.83,建仓,114.100,0%
113033,利群转债,104.870,14.15%,1.14,AA,4.625,119.02,持仓,104.750,0.1%
128081,海亮转债,120.198,5.31%,2.15,AA,4.268,125.51,持仓,121.081,-0.7%
127034,绿茵转债,104.187,21.35%,1.53,AA-,5.704,125.54,持仓,104.047,0.1%
127020,中金转债,121.470,4.35%,1.53,AA+,4.926,125.82,持仓,123.300,-1.5%
128066,亚泰转债,103.298,22.77%,1.30,AA-,3.671,126.07,持仓,103.066,0.2%
113610,灵康转债,122.480,3.69%,4.79,AA-,5.293,126.17,持仓,123.740,-1.0%
123082,北陆转债,113.671,12.65%,2.44,A+,5.310,126.32,持仓,112.650,0.9%
123063,大禹转债,120.400,5.93%,2.63,AA-,4.948,126.33,持仓,120.389,0.0%
113609,永安转债,117.940,8.52%,1.24,AA-,5.274,126.46,持仓,117.050,0.8%
127028,英特转债,109.240,18.15%,1.70,AA+,5.389,127.39,持仓,108.390,0.8%
113591,胜达转债,104.940,23.07%,1.69,AA-,4.874,128.01,持仓,104.750,0.2%
128037,岩土转债,108.711,19.50%,1.24,AA,2.581,128.21,持仓,108.248,0.4%
123097,美力转债,124.501,3.90%,2.60,A+,5.449,128.40,持仓,126.101,-1.3%
123118,惠城转债,117.900,10.96%,2.71,A+,5.890,128.86,持仓,118.020,-0.1%
128057,博彦转债,123.180,6.73%,1.67,AA-,3.553,129.91,持仓,122.946,0.2%
123080,海波转债,128.014,2.38%,3.15,A+,5.296,130.39,持仓,128.500,-0.4%
128106,华统转债,113.316,17.33%,2.24,AA,4.649,130.65,持仓,113.200,0.1%
113039,嘉泽转债,128.650,3.52%,2.66,AA,5.022,132.17,清仓,127.470,0.9%
128145,日丰转债,117.142,14.87%,2.90,AA-,5.600,132.01,清仓,116.471,0.6%
128141,旺能转债,119.188,12.49%,1.45,AA,5.337,131.68,清仓,116.100,2.7%
